"",BBK01.OELL09M,BBK01.OELL09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:34,
2002-01,2.534,
2002-04,2.425,
2002-07,2.403,
2002-10,2.306,
2003-01,2.250,
2003-04,2.116,
2003-07,2.015,
2003-10,1.996,
2004-01,2.041,
2004-04,2.027,
2004-07,2.029,
2004-10,2.080,
2005-01,2.095,
2005-04,2.051,
2005-07,2.067,
2005-10,2.083,
2006-01,2.184,
2006-04,2.231,
2006-07,2.312,
2006-10,2.322,
2007-01,2.335,
2007-04,2.292,
2007-07,2.303,
2007-10,2.265,
2008-01,2.223,
2008-04,2.027,
2008-07,1.920,
2008-10,1.908,
2009-01,1.927,
2009-04,2.012,
2009-07,2.315,
2009-10,2.509,
2010-01,2.629,
2010-04,2.553,
2010-07,2.274,
2010-10,1.998,
2011-01,1.859,
2011-04,1.793,
2011-07,1.739,
2011-10,1.443,
2012-01,1.660,
2012-04,1.582,
2012-07,1.575,
2012-10,1.578,
2013-01,1.643,
2013-04,1.606,
2013-07,1.574,
2013-10,1.510,
2014-01,1.493,
2014-04,1.471,
2014-07,1.467,
