"",BBK01.OEAD02O,BBK01.OEAD02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:39,
2002-01,0.740,
2002-04,0.780,
2002-07,0.728,
2002-10,0.760,
2003-01,0.800,
2003-04,0.719,
2003-07,0.610,
2003-10,0.606,
2004-01,0.538,
2004-04,0.414,
2004-07,0.393,
2004-10,0.464,
2005-01,0.422,
2005-04,0.406,
2005-07,0.352,
2005-10,0.463,
2006-01,0.416,
2006-04,0.530,
2006-07,0.538,
2006-10,0.398,
2007-01,0.510,
2007-04,0.482,
2007-07,0.476,
2007-10,0.474,
2008-01,0.526,
2008-04,0.515,
2008-07,0.501,
2008-10,0.398,
2009-01,0.420,
2009-04,0.422,
2009-07,0.447,
2009-10,0.452,
2010-01,0.365,
2010-04,0.571,
2010-07,0.507,
2010-10,0.430,
2011-01,0.436,
2011-04,0.587,
2011-07,0.427,
2011-10,0.431,
2012-01,0.477,
2012-04,0.540,
2012-07,0.490,
2012-10,0.472,
2013-01,0.485,
2013-04,0.467,
2013-07,0.467,
2013-10,0.554,
2014-01,0.547,
2014-04,0.539,
2014-07,0.515,
