"",BBFN1.M.DE.N.1.A.VN.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.VN.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Vietnam,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:59,
1995-01,0.034,
1995-02,0.036,
1995-03,0.036,
1995-04,0.043,
1995-05,0.043,
1995-06,0.040,
1995-07,0.044,
1995-08,0.040,
1995-09,0.051,
1995-10,0.044,
1995-11,0.049,
1995-12,0.047,
1996-01,0.050,
1996-02,0.053,
1996-03,0.061,
1996-04,0.061,
1996-05,0.057,
1996-06,0.062,
1996-07,0.059,
1996-08,0.063,
1996-09,0.058,
1996-10,0.063,
1996-11,0.057,
1996-12,0.064,
1997-01,0.061,
1997-02,0.062,
1997-03,0.065,
1997-04,0.065,
1997-05,0.067,
1997-06,0.069,
1997-07,0.073,
1997-08,0.076,
1997-09,0.075,
1997-10,0.086,
1997-11,0.087,
1997-12,0.119,
1998-01,0.121,
1998-02,0.154,
1998-03,0.113,
1998-04,0.110,
1998-05,0.111,
1998-06,0.121,
1998-07,0.120,
1998-08,0.113,
1998-09,0.111,
1998-10,0.116,
1998-11,0.112,
1998-12,0.117,
1999-01,0.093,
1999-02,0.112,
1999-03,0.115,
1999-04,0.108,
1999-05,0.118,
1999-06,0.125,
1999-07,0.125,
1999-08,0.118,
1999-09,0.120,
1999-10,0.114,
1999-11,0.119,
1999-12,0.122,
2000-01,0.115,
2000-02,0.117,
2000-03,0.117,
2000-04,0.114,
2000-05,0.118,
2000-06,0.121,
2000-07,0.120,
2000-08,0.126,
2000-09,0.126,
2000-10,0.128,
2000-11,0.124,
2000-12,0.115,
2001-01,0.117,
2001-02,0.085,
2001-03,0.080,
2001-04,0.088,
2001-05,0.085,
2001-06,0.104,
2001-07,0.121,
2001-08,0.129,
2001-09,0.145,
2001-10,0.116,
2001-11,0.156,
2001-12,0.147,
2002-01,0.125,
2002-02,0.123,
2002-03,0.130,
2002-04,0.135,
2002-05,0.131,
2002-06,0.140,
2002-07,0.146,
2002-08,0.152,
2002-09,0.148,
2002-10,0.147,
2002-11,0.167,
2002-12,0.150,
2003-01,0.153,
2003-02,0.139,
2003-03,0.137,
2003-04,0.148,
2003-05,0.140,
2003-06,0.131,
2003-07,0.118,
2003-08,0.129,
2003-09,0.132,
2003-10,0.135,
2003-11,0.144,
2003-12,0.137,
2004-01,0.147,
2004-02,0.142,
2004-03,0.132,
2004-04,0.144,
2004-05,0.157,
2004-06,0.154,
2004-07,0.159,
2004-08,0.154,
2004-09,0.161,
2004-10,0.161,
2004-11,0.162,
2004-12,0.141,
2005-01,0.143,
2005-02,0.144,
2005-03,0.139,
2005-04,0.142,
2005-05,0.159,
2005-06,0.152,
2005-07,0.161,
2005-08,0.170,
2005-09,0.173,
2005-10,0.183,
2005-11,0.173,
2005-12,0.182,
2006-01,0.175,
2006-02,0.172,
2006-03,0.180,
2006-04,0.194,
2006-05,0.191,
2006-06,0.188,
2006-07,0.205,
2006-08,0.169,
2006-09,0.176,
2006-10,0.187,
2006-11,0.204,
2006-12,0.211,
2007-01,0.223,
2007-02,0.227,
2007-03,0.217,
2007-04,0.201,
2007-05,0.216,
2007-06,0.211,
2007-07,0.223,
2007-08,0.229,
2007-09,0.226,
2007-10,0.234,
2007-11,0.247,
2007-12,0.247,
2008-01,0.264,
2008-02,0.281,
2008-03,0.267,
2008-04,0.299,
2008-05,0.305,
2008-06,0.300,
2008-07,0.289,
2008-08,0.279,
2008-09,0.263,
2008-10,0.283,
2008-11,0.305,
2008-12,0.293,
2009-01,0.295,
2009-02,0.279,
2009-03,0.272,
2009-04,0.261,
2009-05,0.238,
2009-06,0.228,
2009-07,0.225,
2009-08,0.229,
2009-09,0.261,
2009-10,0.271,
2009-11,0.278,
2009-12,0.268,
2010-01,0.259,
2010-02,0.267,
2010-03,0.269,
2010-04,0.275,
2010-05,0.277,
2010-06,0.288,
2010-07,0.314,
2010-08,0.318,
2010-09,0.330,
2010-10,0.328,
2010-11,0.330,
2010-12,0.304,
2011-01,0.287,
2011-02,0.295,
2011-03,0.311,
2011-04,0.305,
2011-05,0.309,
2011-06,0.315,
2011-07,0.390,
2011-08,0.368,
2011-09,0.347,
2011-10,0.368,
2011-11,0.389,
2011-12,0.393,
2012-01,0.413,
2012-02,0.410,
2012-03,0.422,
2012-04,0.436,
2012-05,0.436,
2012-06,0.416,
2012-07,0.422,
2012-08,0.421,
2012-09,0.401,
2012-10,0.389,
2012-11,0.392,
2012-12,0.365,
2013-01,0.367,
2013-02,0.388,
2013-03,0.422,
2013-04,0.412,
2013-05,0.409,
2013-06,0.422,
2013-07,0.393,
2013-08,0.423,
2013-09,0.415,
2013-10,0.427,
2013-11,0.421,
2013-12,0.423,
2014-01,0.419,
2014-02,0.436,
2014-03,0.415,
2014-04,0.415,
2014-05,0.412,
2014-06,0.412,
2014-07,0.427,
2014-08,0.415,
2014-09,0.416,
2014-10,0.401,
2014-11,0.434,
2014-12,0.415,
