"",BBK01.OEAH09T,BBK01.OEAH09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:43,
2002-01,0.246,
2002-04,0.227,
2002-07,0.227,
2002-10,0.237,
2003-01,0.242,
2003-04,0.214,
2003-07,0.211,
2003-10,0.216,
2004-01,0.221,
2004-04,0.197,
2004-07,0.186,
2004-10,0.176,
2005-01,0.180,
2005-04,0.180,
2005-07,0.172,
2005-10,0.185,
2006-01,0.206,
2006-04,0.231,
2006-07,0.270,
2006-10,0.335,
2007-01,0.376,
2007-04,0.434,
2007-07,0.488,
2007-10,0.628,
2008-01,0.721,
2008-04,0.771,
2008-07,0.861,
2008-10,0.881,
2009-01,0.823,
2009-04,0.713,
2009-07,0.572,
2009-10,0.401,
2010-01,0.363,
2010-04,0.347,
2010-07,0.338,
2010-10,0.342,
2011-01,0.370,
2011-04,0.387,
2011-07,0.385,
2011-10,0.417,
2012-01,0.371,
2012-04,0.350,
2012-07,0.304,
2012-10,0.233,
2013-01,0.195,
2013-04,0.171,
2013-07,0.156,
2013-10,0.139,
2014-01,0.123,
2014-04,0.128,
2014-07,0.122,
