"",BBK01.OECL08U,BBK01.OECL08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:11,
2002-01,0.710,
2002-04,0.557,
2002-07,0.563,
2002-10,0.621,
2003-01,0.631,
2003-04,0.605,
2003-07,0.623,
2003-10,0.619,
2004-01,0.592,
2004-04,0.625,
2004-07,0.665,
2004-10,0.690,
2005-01,1.382,
2005-04,1.360,
2005-07,1.338,
2005-10,1.329,
2006-01,1.322,
2006-04,1.289,
2006-07,1.249,
2006-10,1.233,
2007-01,1.239,
2007-04,1.218,
2007-07,1.186,
2007-10,1.199,
2008-01,1.186,
2008-04,1.208,
2008-07,1.170,
2008-10,1.179,
2009-01,1.204,
2009-04,1.231,
2009-07,1.274,
2009-10,1.319,
2010-01,1.331,
2010-04,1.313,
2010-07,1.326,
2010-10,1.338,
2011-01,1.325,
2011-04,1.306,
2011-07,1.302,
2011-10,1.300,
2012-01,1.408,
2012-04,1.390,
2012-07,1.402,
2012-10,1.455,
2013-01,1.447,
2013-04,1.435,
2013-07,1.427,
2013-10,1.446,
2014-01,1.443,
2014-04,1.421,
2014-07,1.448,
