"",BBDE1.M.DE.Y.AED1.A2P310000.F.C.I10.A,BBDE1.M.DE.Y.AED1.A2P310000.F.C.I10.A_FLAGS
"","Orders received from abroad, Euro-area countries / At constant prices / Germany / Intermediate goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:23,
2003-01,85.3,
2003-02,83.8,
2003-03,83.9,
2003-04,83.5,
2003-05,81.2,
2003-06,81.8,
2003-07,83.1,
2003-08,82.1,
2003-09,84.0,
2003-10,85.0,
2003-11,84.2,
2003-12,91.5,
2004-01,89.8,
2004-02,90.8,
2004-03,87.3,
2004-04,91.0,
2004-05,92.7,
2004-06,94.7,
2004-07,92.1,
2004-08,97.1,
2004-09,94.2,
2004-10,90.2,
2004-11,92.3,
2004-12,91.7,
2005-01,92.2,
2005-02,90.7,
2005-03,90.6,
2005-04,91.3,
2005-05,92.6,
2005-06,92.1,
2005-07,94.9,
2005-08,93.9,
2005-09,97.2,
2005-10,97.3,
2005-11,99.0,
2005-12,99.8,
2006-01,98.3,
2006-02,99.6,
2006-03,99.0,
2006-04,100.9,
2006-05,102.1,
2006-06,102.8,
2006-07,102.4,
2006-08,103.6,
2006-09,102.2,
2006-10,104.7,
2006-11,105.3,
2006-12,102.4,
2007-01,103.2,
2007-02,106.6,
2007-03,108.5,
2007-04,107.6,
2007-05,106.3,
2007-06,108.0,
2007-07,106.1,
2007-08,106.1,
2007-09,104.7,
2007-10,109.9,
2007-11,118.4,
2007-12,113.7,
2008-01,107.9,
2008-02,108.2,
2008-03,108.4,
2008-04,110.9,
2008-05,112.6,
2008-06,105.3,
2008-07,107.2,
2008-08,107.7,
2008-09,100.0,
2008-10,96.9,
2008-11,84.6,
2008-12,86.7,
2009-01,77.5,
2009-02,71.0,
2009-03,72.4,
2009-04,79.1,
2009-05,80.5,
2009-06,87.4,
2009-07,86.8,
2009-08,90.7,
2009-09,91.4,
2009-10,91.2,
2009-11,92.1,
2009-12,87.0,
2010-01,95.6,
2010-02,96.0,
2010-03,97.5,
2010-04,100.0,
2010-05,98.2,
2010-06,98.3,
2010-07,100.8,
2010-08,101.2,
2010-09,102.2,
2010-10,102.4,
2010-11,100.8,
2010-12,103.3,
2011-01,109.3,
2011-02,108.0,
2011-03,108.1,
2011-04,106.0,
2011-05,103.9,
2011-06,105.7,
2011-07,104.2,
2011-08,110.3,
2011-09,103.6,
2011-10,101.2,
2011-11,99.0,
2011-12,93.7,
2012-01,103.4,
2012-02,99.0,
2012-03,99.1,
2012-04,98.5,
2012-05,100.1,
2012-06,99.2,
2012-07,99.8,
2012-08,99.9,
2012-09,92.8,
2012-10,98.1,
2012-11,97.5,
2012-12,100.1,
2013-01,95.7,
2013-02,96.4,
2013-03,105.4,
2013-04,97.7,
2013-05,99.1,
2013-06,98.7,
2013-07,95.8,
2013-08,100.1,
2013-09,98.0,
2013-10,102.2,
2013-11,99.7,
2013-12,98.7,
2014-01,101.2,
2014-02,101.0,
2014-03,99.9,
2014-04,103.8,
2014-05,98.7,
2014-06,100.2,
2014-07,100.5,
2014-08,99.3,
2014-09,102.9,
2014-10,109.0,
2014-11,99.4,
2014-12,106.6,Provisional value
