"",BBDE1.M.DE.Y.AEA1.A2R240050.F.C.I10.A,BBDE1.M.DE.Y.AEA1.A2R240050.F.C.I10.A_FLAGS
"","Orders received / At constant prices / Germany / 24+25 Manufacture of basic metals and fabricated metal products, except machinery and equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:58,
1991-01,83.9,
1991-02,84.9,
1991-03,84.0,
1991-04,81.2,
1991-05,80.7,
1991-06,80.7,
1991-07,79.3,
1991-08,80.7,
1991-09,80.4,
1991-10,81.1,
1991-11,82.7,
1991-12,83.3,
1992-01,85.7,
1992-02,85.5,
1992-03,83.0,
1992-04,82.8,
1992-05,80.9,
1992-06,79.5,
1992-07,77.5,
1992-08,78.6,
1992-09,77.0,
1992-10,73.6,
1992-11,73.3,
1992-12,72.9,
1993-01,75.3,
1993-02,73.8,
1993-03,71.8,
1993-04,73.7,
1993-05,73.9,
1993-06,73.7,
1993-07,73.3,
1993-08,71.7,
1993-09,75.2,
1993-10,75.6,
1993-11,76.4,
1993-12,77.3,
1994-01,75.8,
1994-02,77.9,
1994-03,80.6,
1994-04,82.7,
1994-05,83.4,
1994-06,83.6,
1994-07,82.5,
1994-08,84.0,
1994-09,86.7,
1994-10,86.5,
1994-11,87.1,
1994-12,88.9,
1995-01,81.5,
1995-02,84.8,
1995-03,84.4,
1995-04,82.1,
1995-05,80.2,
1995-06,80.2,
1995-07,78.8,
1995-08,77.6,
1995-09,78.8,
1995-10,77.5,
1995-11,75.4,
1995-12,75.9,
1996-01,77.4,
1996-02,75.3,
1996-03,75.8,
1996-04,76.0,
1996-05,77.3,
1996-06,79.2,
1996-07,79.6,
1996-08,80.2,
1996-09,79.9,
1996-10,81.0,
1996-11,80.5,
1996-12,81.4,
1997-01,79.8,
1997-02,83.3,
1997-03,82.8,
1997-04,82.5,
1997-05,82.7,
1997-06,84.8,
1997-07,86.1,
1997-08,85.6,
1997-09,85.9,
1997-10,88.4,
1997-11,88.9,
1997-12,88.1,
1998-01,87.8,
1998-02,87.0,
1998-03,87.8,
1998-04,88.9,
1998-05,85.8,
1998-06,89.4,
1998-07,82.9,
1998-08,84.7,
1998-09,82.8,
1998-10,82.3,
1998-11,81.9,
1998-12,81.6,
1999-01,83.5,
1999-02,80.7,
