"",BBFB1.M.N.DE.W1.S1.S1.T.C.G1._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.G1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / General merchandise / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:01,
1991-01,27542.371,
1991-02,25338.972,
1991-03,27343.778,
1991-04,26054.040,
1991-05,26143.636,
1991-06,25918.202,
1991-07,28426.482,
1991-08,25051.944,
1991-09,25945.150,
1991-10,29500.557,
1991-11,28148.164,
1991-12,27357.844,
1992-01,26436.983,
1992-02,26528.436,
1992-03,30613.565,
1992-04,29360.415,
1992-05,25444.697,
1992-06,24975.369,
1992-07,28934.154,
1992-08,23660.757,
1992-09,27197.664,
1992-10,29805.787,
1992-11,25934.765,
1992-12,26444.613,
1993-01,21971.414,
1993-02,25980.676,
1993-03,27299.640,
1993-04,25109.251,
1993-05,24221.450,
1993-06,25823.251,
1993-07,24365.692,
1993-08,22766.324,
1993-09,25242.270,
1993-10,26463.214,
1993-11,26415.816,
1993-12,27623.770,
1994-01,23696.016,
1994-02,25140.326,
1994-03,29647.919,
1994-04,26874.219,
1994-05,28421.449,
1994-06,30096.158,
1994-07,25889.440,
1994-08,26727.597,
1994-09,28086.799,
1994-10,28422.177,
1994-11,29363.139,
1994-12,30587.368,
1995-01,28012.864,
1995-02,28568.743,
1995-03,32050.132,
1995-04,28373.462,
1995-05,30924.934,
1995-06,31527.989,
1995-07,28430.277,
1995-08,27207.738,
1995-09,30837.979,
1995-10,31351.045,
1995-11,32132.348,
1995-12,30537.506,
1996-01,29835.105,
1996-02,30190.705,
1996-03,31479.120,
1996-04,31492.955,
1996-05,31056.453,
1996-06,30485.142,
1996-07,33286.779,
1996-08,28051.437,
1996-09,30950.034,
1996-10,35828.427,
1996-11,33699.332,
1996-12,31577.223,
1997-01,30720.598,
1997-02,32702.365,
1997-03,33838.141,
1997-04,35387.559,
1997-05,33812.314,
1997-06,37235.288,
1997-07,37824.149,
1997-08,31652.485,
1997-09,38196.149,
1997-10,39367.520,
1997-11,37917.837,
1997-12,37260.722,
1998-01,35441.624,
1998-02,37101.724,
1998-03,39954.596,
1998-04,40305.255,
1998-05,36974.878,
1998-06,39341.014,
1998-07,40853.330,
1998-08,33131.097,
1998-09,36885.686,
1998-10,40291.342,
1998-11,39555.600,
1998-12,35917.085,
1999-01,33359.439,
1999-02,37102.528,
1999-03,40734.980,
