"",BBSF2.M.1.S.00000.AKT01.T.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.T.F.MAK.Z5.00000.000000.Z01.00_FLAGS
2007-01,10,
2007-02,0,
2007-03,-14,
2007-04,24,
2007-05,0,
2007-06,12,
2007-07,-13,
2007-08,-17,
2007-09,-263,
2007-10,4,
2007-11,-37,
2007-12,9,
2008-01,-33,
2008-02,6,
2008-03,-17,
2008-04,40,
2008-05,-2,
2008-06,-5,
2008-07,-17,
2008-08,-3,
2008-09,23,
2008-10,-10,
2008-11,0,
2008-12,0,
2009-01,0,
2009-02,0,
2009-03,0,
2009-04,1000,
2009-05,0,
2009-06,0,
2009-07,-1012,
2009-08,-44,
2009-09,0,
2009-10,0,
2009-11,0,
2009-12,60,
2010-01,11,
2010-02,-20,
2010-03,8,
2010-04,0,
2010-05,-21,
2010-06,20,
2010-07,8,
2010-08,2,
2010-09,65,
2010-10,-162,
2010-11,20,
2010-12,44,
2011-01,1,
2011-02,6,
2011-03,0,
2011-04,4,
2011-05,15,
2011-06,12,
2011-07,4,
2011-08,3,
2011-09,4,
2011-10,2,
2011-11,-7,
2011-12,-37,
2012-01,5,
2012-02,0,
2012-03,6,
2012-04,79,
2012-05,5,
2012-06,-61,
2012-07,-118,
2012-08,-5,
2012-09,1,
2012-10,-2,
2012-11,2,
2012-12,3,
2013-01,66,
2013-02,13,
2013-03,1,
2013-04,-2,
2013-05,229,
2013-06,-294,
2013-07,1,
2013-08,1,
2013-09,0,
2013-10,-3,
2013-11,1,
2013-12,5,
2014-01,-326,
2014-02,1,
2014-03,335,
2014-04,-5,
2014-05,-5,
2014-06,-345,
2014-07,-7,
2014-08,-3,
2014-09,0,
2014-10,-7,
2014-11,-2,
