"",BBFB1.M.N.DE.W1.S1KK.S1.T.L.FA.P.F3.S._T._X.N,BBFB1.M.N.DE.W1.S1KK.S1.T.L.FA.P.F3.S._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Short-term debt-securities / Public issuers / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:23,
1991-01,196.465,
1991-02,286.205,
1991-03,-17.658,
1991-04,8.473,
1991-05,11.224,
1991-06,-12.494,
1991-07,494.834,
1991-08,411.823,
1991-09,18.956,
1991-10,-97.944,
1991-11,-11.669,
1991-12,23.927,
1992-01,19.246,
1992-02,-402.954,
1992-03,-5.854,
1992-04,20.904,
1992-05,12.011,
1992-06,-82.287,
1992-07,-817.083,
1992-08,-498.767,
1992-09,65.448,
1992-10,64.820,
1992-11,138.799,
1992-12,-114.419,
1993-01,50.921,
1993-02,-102.969,
1993-03,5575.486,
1993-04,-105.858,
1993-05,70.654,
1993-06,412.497,
1993-07,41.029,
1993-08,850.269,
1993-09,214.758,
1993-10,683.618,
1993-11,209.844,
1993-12,-113.231,
1994-01,695.151,
1994-02,668.601,
1994-03,-1800.683,
1994-04,2178.352,
1994-05,-232.345,
1994-06,-356.730,
1994-07,292.853,
1994-08,144.922,
1994-09,-3399.911,
1994-10,167.654,
1994-11,-206.234,
1994-12,-4501.896,
1995-01,89.442,
1995-02,-250.375,
1995-03,-2231.222,
1995-04,89.093,
1995-05,-20.989,
1995-06,84.338,
1995-07,-57.444,
1995-08,91.848,
1995-09,-90.951,
1995-10,61.249,
1995-11,71.884,
1995-12,134.150,
1996-01,-97.300,
1996-02,101.773,
1996-03,32.103,
1996-04,16.614,
1996-05,46.514,
1996-06,39.174,
1996-07,4146.812,
1996-08,782.974,
1996-09,-211.447,
1996-10,1962.967,
1996-11,784.483,
1996-12,8.885,
1997-01,763.396,
1997-02,331.014,
1997-03,295.725,
1997-04,1017.566,
1997-05,112.655,
1997-06,146.554,
1997-07,-257.663,
1997-08,169.593,
1997-09,168.785,
1997-10,-303.994,
1997-11,470.172,
1997-12,546.241,
1998-01,-446.177,
1998-02,417.695,
1998-03,353.228,
1998-04,-1937.180,
1998-05,886.178,
1998-06,7.095,
1998-07,-18.713,
1998-08,838.143,
1998-09,520.203,
1998-10,-1172.302,
1998-11,90.387,
1998-12,-3181.067,
1999-01,-1944.366,
1999-02,622.877,
1999-03,508.405,
1999-04,-2610.161,
1999-05,651.000,
1999-06,388.818,
1999-07,651.006,
1999-08,479.019,
1999-09,762.493,
1999-10,-1310.610,
1999-11,1890.653,
1999-12,73.292,
2000-01,-929.863,
2000-02,260.877,
2000-03,-148.031,
2000-04,582.000,
2000-05,400.497,
2000-06,292.629,
2000-07,-673.495,
2000-08,112.000,
2000-09,663.335,
2000-10,-949.505,
2000-11,365.810,
2000-12,170.000,
2001-01,-286.335,
2001-02,-882.000,
2001-03,774.000,
2001-04,1202.760,
2001-05,50.833,
2001-06,621.000,
2001-07,3119.251,
2001-08,850.800,
2001-09,-152.900,
2001-10,1123.000,
2001-11,394.978,
2001-12,-110.000,
2002-01,-6058.851,
2002-02,314.000,
2002-03,181.000,
2002-04,-4133.000,
2002-05,3754.000,
2002-06,4602.000,
2002-07,2880.000,
2002-08,4461.953,
2002-09,4407.000,
2002-10,-1264.189,
2002-11,-552.089,
2002-12,-1878.953,
2003-01,470.942,
2003-02,-126.917,
2003-03,-690.144,
2003-04,524.941,
2003-05,1532.530,
2003-06,-812.083,
2003-07,460.218,
2003-08,511.729,
2003-09,1239.764,
2003-10,514.026,
2003-11,1225.794,
2003-12,212.433,
2004-01,671.706,
2004-02,-2887.184,
2004-03,1370.651,
2004-04,-1212.354,
2004-05,682.639,
2004-06,-425.893,
2004-07,1061.704,
2004-08,460.284,
2004-09,-856.354,
2004-10,492.194,
2004-11,950.255,
2004-12,-1757.844,
2005-01,1929.161,
2005-02,956.548,
2005-03,1676.074,
2005-04,59.377,
2005-05,-3578.919,
2005-06,-738.645,
2005-07,-1150.530,
2005-08,1480.081,
2005-09,743.554,
2005-10,-3527.014,
2005-11,3040.125,
2005-12,2148.595,
2006-01,-87.479,
2006-02,843.932,
2006-03,-943.341,
2006-04,1259.912,
2006-05,-1503.190,
2006-06,-625.632,
2006-07,220.142,
2006-08,899.539,
2006-09,-887.836,
2006-10,556.372,
2006-11,-600.077,
2006-12,-893.676,
2007-01,952.769,
2007-02,-894.395,
2007-03,65.467,
2007-04,-179.268,
2007-05,-22.850,
2007-06,-1639.647,
2007-07,-558.335,
2007-08,649.786,
2007-09,0.671,
2007-10,-1008.792,
2007-11,909.812,
2007-12,758.617,
2008-01,-213.399,
2008-02,-872.583,
2008-03,2268.691,
2008-04,1823.664,
2008-05,926.451,
2008-06,305.856,
2008-07,-996.771,
2008-08,-52.189,
2008-09,5605.319,
2008-10,63.466,
2008-11,50.979,
2008-12,575.015,
2009-01,7437.746,
2009-02,7576.878,
2009-03,6084.044,
2009-04,12471.787,
2009-05,10548.623,
2009-06,6250.118,
2009-07,7268.272,
2009-08,885.887,
2009-09,-1187.036,
2009-10,1547.100,
2009-11,3163.652,
2009-12,-5169.624,
2010-01,-5183.489,
2010-02,-1249.575,
2010-03,-3700.402,
2010-04,-2813.593,
2010-05,-7579.774,
2010-06,-6406.199,
2010-07,-762.628,
2010-08,1262.017,
2010-09,1752.231,
2010-10,14265.731,
2010-11,15195.902,
2010-12,-25930.524,
2011-01,2585.648,
2011-02,-593.237,
2011-03,4755.823,
2011-04,1991.405,
2011-05,2318.666,
2011-06,3906.508,
2011-07,1673.414,
2011-08,2030.036,
2011-09,975.443,
2011-10,-3915.263,
2011-11,-3382.636,
2011-12,-1361.401,
2012-01,2601.173,
2012-02,4696.555,
2012-03,1705.146,
2012-04,-3254.023,
2012-05,805.380,
2012-06,3942.136,
2012-07,2773.251,
2012-08,-1097.331,
2012-09,-7605.200,
2012-10,1389.262,
2012-11,4633.856,
2012-12,-1216.966,
2013-01,-4198.761,
2013-02,-1428.842,
2013-03,3489.447,
2013-04,-2204.118,
2013-05,1001.085,
2013-06,-521.333,
2013-07,-3654.000,
2013-08,-3826.602,
2013-09,-2058.371,
2013-10,-1476.062,
2013-11,-4512.457,
2013-12,-2141.635,
2014-01,-751.732,
2014-02,-725.707,Provisional value
2014-03,-1398.855,Provisional value
2014-04,-3931.075,Provisional value
2014-05,-1180.852,Provisional value
2014-06,-2031.210,Provisional value
2014-07,1719.718,Provisional value
2014-08,-649.932,Provisional value
2014-09,-2156.270,
2014-10,998.579,
2014-11,-3456.187,
2014-12,4.387,Provisional value
