"",BBFB1.Q.N.DE.FI.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.FI.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:08,
1991-01,0.648,
1991-04,2.367,
1991-07,-0.540,
1991-10,0.433,
1992-01,0.654,
1992-04,0.377,
1992-07,0.652,
1992-10,-1.153,
1993-01,-1.403,
1993-04,1.302,
1993-07,2.596,
1993-10,1.263,
1994-01,-18.315,
1994-04,-15.756,
1994-07,-10.215,
1994-10,-1.452,
1995-01,-0.465,
1995-04,1.608,
1995-07,-8.593,
1995-10,-1.616,
1996-01,6.968,
1996-04,-8.793,
1996-07,10.624,
1996-10,-1.733,
1997-01,23.522,
1997-04,-91.913,
1997-07,12.106,
1997-10,-10.217,
1998-01,-24.540,
1998-04,-30.857,
1998-07,-6.963,
1998-10,6.721,
1999-01,-53.995,
1999-04,-3.403,
1999-07,14.448,
1999-10,-3.347,
2000-01,10.177,
2000-04,32.387,
2000-07,66.827,
2000-10,35.028,
2001-01,31.224,
2001-04,68.654,
2001-07,19.838,
2001-10,33.968,
2002-01,22.129,
2002-04,-9.671,
2002-07,-93.402,
2002-10,-191.465,
2003-01,-2.172,
2003-04,74.020,
2003-07,-20.547,
2003-10,6.543,
2004-01,-62.352,
2004-04,-35.513,
2004-07,-48.279,
2004-10,-14.346,
2005-01,-55.784,
2005-04,-102.102,
2005-07,50.548,
2005-10,-33.919,
2006-01,12.267,
2006-04,-41.110,
2006-07,108.995,
2006-10,6.319,
2007-01,-38.083,
2007-04,17.094,
2007-07,77.379,
2007-10,-58.973,
2008-01,-66.473,
2008-04,-87.536,
2008-07,-4.245,
2008-10,-166.422,
2009-01,-133.179,
2009-04,-150.656,
2009-07,151.750,
2009-10,-35.103,
2010-01,1.364,
2010-04,-202.120,
2010-07,3.088,
2010-10,32.415,
2011-01,15.137,
2011-04,-18.682,
2011-07,155.175,
2011-10,-18.553,
2012-01,-104.964,
2012-04,-22.207,
2012-07,292.356,
2012-10,39.819,
2013-01,-45.909,
2013-04,-38.397,
2013-07,216.857,
2013-10,51.082,
2014-01,17.472,Provisional value
2014-04,-66.157,Provisional value
2014-07,251.932,Provisional value
2014-10,147.739,Provisional value
