"",BBK01.OEAO03J,BBK01.OEAO03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:15,
2002-01,0.909,
2002-04,0.801,
2002-07,0.631,
2002-10,0.628,
2003-01,0.769,
2003-04,0.662,
2003-07,0.695,
2003-10,0.714,
2004-01,0.780,
2004-04,0.621,
2004-07,0.633,
2004-10,0.645,
2005-01,0.848,
2005-04,0.636,
2005-07,0.642,
2005-10,0.675,
2006-01,0.820,
2006-04,0.724,
2006-07,0.743,
2006-10,0.904,
2007-01,1.047,
2007-04,0.831,
2007-07,0.851,
2007-10,0.874,
2008-01,0.984,
2008-04,0.896,
2008-07,0.879,
2008-10,0.967,
2009-01,1.003,
2009-04,0.764,
2009-07,0.817,
2009-10,0.997,
2010-01,0.723,
2010-04,0.544,
2010-07,0.525,
2010-10,0.564,
2011-01,0.628,
2011-04,0.565,
2011-07,0.543,
2011-10,0.531,
2012-01,0.638,
2012-04,0.508,
2012-07,0.558,
2012-10,0.590,
2013-01,0.639,
2013-04,0.520,
2013-07,0.452,
2013-10,0.450,
2014-01,0.674,
2014-04,0.413,
2014-07,0.412,
