"",BBK01.OELO02K,BBK01.OELO02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:40,
2002-01,0.323,
2002-04,0.404,
2002-07,0.413,
2002-10,0.243,
2003-01,0.222,
2003-04,0.209,
2003-07,0.184,
2003-10,0.265,
2004-01,0.274,
2004-04,0.209,
2004-07,0.200,
2004-10,0.238,
2005-01,0.253,
2005-04,0.240,
2005-07,0.269,
2005-10,0.246,
2006-01,0.265,
2006-04,0.255,
2006-07,0.286,
2006-10,0.348,
2007-01,0.303,
2007-04,0.251,
2007-07,0.255,
2007-10,0.293,
2008-01,0.226,
2008-04,0.256,
2008-07,0.242,
2008-10,0.305,
2009-01,0.326,
2009-04,0.352,
2009-07,0.280,
2009-10,0.256,
2010-01,0.331,
2010-04,0.292,
2010-07,0.343,
2010-10,0.346,
2011-01,0.287,
2011-04,0.258,
2011-07,0.204,
2011-10,0.163,
2012-01,0.198,
2012-04,0.168,
2012-07,0.154,
2012-10,0.154,
2013-01,0.180,
2013-04,0.160,
2013-07,0.155,
2013-10,0.162,
2014-01,0.234,
2014-04,0.181,
2014-07,0.158,
