"",BBK01.OECJ07H,BBK01.OECJ07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:48,
2002-01,0.100,
2002-04,0.095,
2002-07,0.085,
2002-10,0.075,
2003-01,0.085,
2003-04,0.097,
2003-07,0.181,
2003-10,0.229,
2004-01,0.285,
2004-04,0.280,
2004-07,0.330,
2004-10,0.302,
2005-01,0.288,
2005-04,0.340,
2005-07,0.359,
2005-10,0.210,
2006-01,0.268,
2006-04,0.179,
2006-07,0.150,
2006-10,0.135,
2007-01,0.242,
2007-04,0.185,
2007-07,0.069,
2007-10,0.072,
2008-01,0.066,
2008-04,0.056,
2008-07,0.053,
2008-10,0.076,
2009-01,0.099,
2009-04,0.059,
2009-07,0.067,
2009-10,0.069,
2010-01,0.110,
2010-04,0.144,
2010-07,0.130,
2010-10,0.101,
2011-01,0.091,
2011-04,0.071,
2011-07,0.062,
2011-10,0.058,
2012-01,0.082,
2012-04,0.087,
2012-07,0.099,
2012-10,0.095,
2013-01,0.101,
2013-04,0.119,
2013-07,0.118,
2013-10,0.123,
2014-01,0.108,
2014-04,0.111,
2014-07,0.111,
