"",BBFN1.M.DE.N.1.A.BA.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BA.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:42,
2006-03,0.113,
2006-04,0.123,
2006-05,0.126,
2006-06,0.120,
2006-07,0.121,
2006-08,0.121,
2006-09,0.129,
2006-10,0.129,
2006-11,0.136,
2006-12,0.131,
2007-01,0.128,
2007-02,0.132,
2007-03,0.141,
2007-04,0.132,
2007-05,0.149,
2007-06,0.155,
2007-07,0.150,
2007-08,0.144,
2007-09,0.153,
2007-10,0.149,
2007-11,0.150,
2007-12,0.148,
2008-01,0.146,
2008-02,0.149,
2008-03,0.171,
2008-04,0.187,
2008-05,0.193,
2008-06,0.203,
2008-07,0.202,
2008-08,0.192,
2008-09,0.190,
2008-10,0.193,
2008-11,0.192,
2008-12,0.245,
2009-01,0.253,
2009-02,0.254,
2009-03,0.269,
2009-04,0.250,
2009-05,0.265,
2009-06,0.270,
2009-07,0.262,
2009-08,0.270,
2009-09,0.266,
2009-10,0.278,
2009-11,0.277,
2009-12,0.273,
2010-01,0.264,
2010-02,0.271,
2010-03,0.277,
2010-04,0.277,
2010-05,0.280,
2010-06,0.274,
2010-07,0.246,
2010-08,0.245,
2010-09,0.245,
2010-10,0.239,
2010-11,0.256,
2010-12,0.219,
2011-01,0.229,
2011-02,0.234,
2011-03,0.232,
2011-04,0.234,
2011-05,0.236,
2011-06,0.237,
2011-07,0.230,
2011-08,0.224,
2011-09,0.230,
2011-10,0.227,
2011-11,0.224,
2011-12,0.219,
2012-01,0.216,
2012-02,0.215,
2012-03,0.223,
2012-04,0.230,
2012-05,0.225,
2012-06,0.231,
2012-07,0.233,
2012-08,0.210,
2012-09,0.207,
2012-10,0.204,
2012-11,0.206,
2012-12,0.203,
2013-01,0.197,
2013-02,0.197,
2013-03,0.206,
2013-04,0.211,
2013-05,0.217,
2013-06,0.209,
2013-07,0.192,
2013-08,0.202,
2013-09,0.197,
2013-10,0.199,
2013-11,0.199,
2013-12,0.198,
2014-01,0.194,
2014-02,0.201,
2014-03,0.204,
2014-04,0.206,
2014-05,0.205,
2014-06,0.203,
2014-07,0.201,
2014-08,0.189,
2014-09,0.189,
2014-10,0.173,
2014-11,0.186,
2014-12,0.146,
