"",BBK01.OEHB04L,BBK01.OEHB04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:45,
2002-01,41.576,
2002-04,41.613,
2002-07,42.069,
2002-10,41.614,
2003-01,41.987,
2003-04,42.079,
2003-07,42.234,
2003-10,42.495,
2004-01,42.064,
2004-04,41.846,
2004-07,41.868,
2004-10,41.783,
2005-01,41.134,
2005-04,41.081,
2005-07,41.141,
2005-10,41.054,
2006-01,40.970,
2006-04,40.986,
2006-07,41.103,
2006-10,41.054,
2007-01,40.642,
2007-04,40.576,
2007-07,40.719,
2007-10,40.744,
2008-01,40.647,
2008-04,41.027,
2008-07,41.460,
2008-10,41.539,
2009-01,41.422,
2009-04,41.353,
2009-07,41.674,
2009-10,41.956,
2010-01,41.813,
2010-04,42.099,
2010-07,42.343,
2010-10,42.650,
2011-01,42.691,
2011-04,42.846,
2011-07,43.132,
2011-10,43.483,
2012-01,43.616,
2012-04,44.021,
2012-07,44.324,
2012-10,44.796,
2013-01,44.930,
2013-04,45.373,
2013-07,45.886,
2013-10,46.101,
2014-01,46.275,
2014-04,46.604,
2014-07,47.187,
