"",BBK01.OEBL05R,BBK01.OEBL05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:30,
2002-01,0.005,
2002-04,0.005,
2002-07,0.004,
2002-10,0.005,
2003-01,0.004,
2003-04,0.005,
2003-07,0.006,
2003-10,0.005,
2004-01,0.006,
2004-04,0.007,
2004-07,0.006,
2004-10,0.006,
2005-01,0.051,
2005-04,0.051,
2005-07,0.049,
2005-10,0.048,
2006-01,0.045,
2006-04,0.045,
2006-07,0.045,
2006-10,0.043,
2007-01,0.041,
2007-04,0.039,
2007-07,0.042,
2007-10,0.042,
2008-01,0.042,
2008-04,0.042,
2008-07,0.039,
2008-10,0.043,
2009-01,0.045,
2009-04,0.049,
2009-07,0.056,
2009-10,0.059,
2010-01,0.062,
2010-04,0.065,
2010-07,0.063,
2010-10,0.063,
2011-01,0.065,
2011-04,0.063,
2011-07,0.062,
2011-10,0.063,
2012-01,0.062,
2012-04,0.058,
2012-07,0.056,
2012-10,0.054,
2013-01,0.052,
2013-04,0.052,
2013-07,0.053,
2013-10,0.055,
2014-01,0.050,
2014-04,0.050,
2014-07,0.047,
