"",BBFB1.Q.N.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:01,
1991-01,75297.816,
1991-04,77712.595,
1991-07,75387.939,
1991-10,77903.431,
1992-01,78081.922,
1992-04,75437.520,
1992-07,71828.699,
1992-10,76491.848,
1993-01,66571.798,
1993-04,66843.657,
1993-07,65289.501,
1993-10,69445.428,
1994-01,69057.349,
1994-04,72583.797,
1994-07,71206.388,
1994-10,78004.174,
1995-01,77279.635,
1995-04,78246.532,
1995-07,75134.073,
1995-10,80820.204,
1996-01,79947.560,
1996-04,79903.828,
1996-07,77459.302,
1996-10,85341.209,
1997-01,85396.529,
1997-04,89918.338,
1997-07,90439.771,
1997-10,96192.455,
1998-01,96588.166,
1998-04,98573.339,
1998-07,93997.257,
1998-10,97787.814,
1999-01,96565.302,
1999-04,101916.727,
1999-07,102679.066,
1999-10,110585.398,
2000-01,114314.675,
2000-04,119972.494,
2000-07,123347.165,
2000-10,140503.522,
2001-01,126710.102,
2001-04,128149.577,
2001-07,120262.251,
2001-10,122826.412,
2002-01,110808.570,
2002-04,119571.371,
2002-07,114829.229,
2002-10,124536.035,
2003-01,121924.571,
2003-04,121088.757,
2003-07,117084.059,
2003-10,129558.602,
2004-01,124750.172,
2004-04,130617.065,
2004-07,133205.109,
2004-10,144342.185,
2005-01,130854.569,
2005-04,144412.775,
2005-07,145416.826,
2005-10,162255.497,
2006-01,162843.517,
2006-04,167131.708,
2006-07,168622.373,
2006-10,181437.193,
2007-01,178220.404,
2007-04,178984.210,
2007-07,179753.636,
2007-10,187829.792,
2008-01,188018.463,
2008-04,191908.080,
2008-07,196802.030,
2008-10,187484.999,
2009-01,161698.853,
2009-04,148582.263,
2009-07,156422.141,
2009-10,162518.300,
2010-01,170897.301,
2010-04,189306.336,
2010-07,193326.221,
2010-10,203664.208,
2011-01,212400.067,
2011-04,217668.888,
2011-07,216980.973,
2011-10,219695.535,
2012-01,222712.870,
2012-04,218391.708,
2012-07,216884.826,
2012-10,218838.350,
2013-01,216425.622,
2013-04,216768.068,
2013-07,220921.643,
2013-10,221737.234,
2014-01,223236.665,Provisional value
2014-04,221286.634,Provisional value
2014-07,222781.412,Provisional value
