"",BBFB1.Q.N.DE.SI.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:48,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-55.152,
1992-07,-76.827,
1992-10,-29.618,
1993-01,-41.391,
1993-04,-78.499,
1993-07,-61.039,
1993-10,-73.691,
1994-01,-112.158,
1994-04,-60.076,
1994-07,-77.457,
1994-10,-61.571,
1995-01,-95.434,
1995-04,32.454,
1995-07,-3.123,
1995-10,-35.923,
1996-01,-5.483,
1996-04,20.966,
1996-07,-40.951,
1996-10,-75.575,
1997-01,-40.869,
1997-04,2.087,
1997-07,-9.747,
1997-10,-48.752,
1998-01,-14.185,
1998-04,-24.748,
1998-07,-23.982,
1998-10,-27.206,
1999-01,-42.642,
1999-04,-26.332,
1999-07,-76.471,
1999-10,-58.804,
2000-01,-36.566,
2000-04,-131.959,
2000-07,-66.251,
2000-10,-51.276,
2001-01,-43.356,
2001-04,-75.477,
2001-07,-86.773,
2001-10,-58.875,
2002-01,-72.257,
2002-04,-77.845,
2002-07,-105.121,
2002-10,-34.293,
2003-01,-43.723,
2003-04,-14.713,
2003-07,24.399,
2003-10,-59.263,
2004-01,74.129,
2004-04,49.061,
2004-07,6.995,
2004-10,21.704,
2005-01,128.073,
2005-04,93.310,
2005-07,105.051,
2005-10,109.366,
2006-01,132.516,
2006-04,131.609,
2006-07,103.131,
2006-10,186.655,
2007-01,275.195,
2007-04,158.288,
2007-07,100.319,
2007-10,185.431,
2008-01,193.338,
2008-04,271.061,
2008-07,151.672,
2008-10,244.510,
2009-01,34.808,
2009-04,34.693,
2009-07,35.557,
2009-10,109.927,
2010-01,73.131,
2010-04,23.481,
2010-07,9.899,
2010-10,12.139,
2011-01,36.866,
2011-04,-35.513,
2011-07,-80.027,
2011-10,-53.151,
2012-01,-129.839,
2012-04,-153.762,
2012-07,-167.467,
2012-10,-88.302,
2013-01,56.243,
2013-04,-109.043,
2013-07,-165.362,
2013-10,-245.342,
2014-01,-149.509,Provisional value
2014-04,-163.673,Provisional value
2014-07,-141.042,Provisional value
