"",BBK01.OECL02L,BBK01.OECL02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:27,
2002-01,2.996,
2002-04,3.492,
2002-07,3.100,
2002-10,3.445,
2003-01,3.325,
2003-04,3.348,
2003-07,3.375,
2003-10,3.470,
2004-01,3.285,
2004-04,3.311,
2004-07,3.304,
2004-10,3.306,
2005-01,4.922,
2005-04,4.947,
2005-07,4.783,
2005-10,4.980,
2006-01,5.155,
2006-04,5.179,
2006-07,4.669,
2006-10,4.970,
2007-01,4.963,
2007-04,4.998,
2007-07,5.035,
2007-10,5.408,
2008-01,5.099,
2008-04,5.209,
2008-07,5.641,
2008-10,6.296,
2009-01,7.070,
2009-04,7.541,
2009-07,6.953,
2009-10,7.160,
2010-01,7.406,
2010-04,7.466,
2010-07,7.747,
2010-10,7.877,
2011-01,7.404,
2011-04,7.495,
2011-07,7.491,
2011-10,7.431,
2012-01,7.601,
2012-04,7.915,
2012-07,8.642,
2012-10,8.289,
2013-01,8.477,
2013-04,8.560,
2013-07,8.417,
2013-10,8.452,
2014-01,8.717,
2014-04,9.001,
2014-07,9.016,
