"",BBSF2.M.1.S.I0122.DAC01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.DAC01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Sales receipts / Domestic credit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:35,
2009-09,61,
2009-10,28,
2009-11,7,
2009-12,34,
2010-01,14,
2010-02,9,
2010-03,3,
2010-04,3,
2010-05,2,
2010-06,0,
2010-07,59,
2010-08,12,
2010-09,2,
2010-10,6,
2010-11,4,
2010-12,29,
2011-01,3,
2011-02,-,Nothing exists
2011-03,3,
2011-04,5,
2011-05,-,Nothing exists
2011-06,-,Nothing exists
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,-,Nothing exists
2011-10,1,
2011-11,-,Nothing exists
2011-12,24,
2012-01,6,
2012-02,5,
2012-03,78,
2012-04,2,
2012-05,56,
2012-06,2,
2012-07,20,
2012-08,-,Nothing exists
2012-09,0,
2012-10,-,Nothing exists
2012-11,2,
2012-12,24,
2013-01,0,
2013-02,25,
2013-03,0,
2013-04,7,
2013-05,-,Nothing exists
2013-06,10,
2013-07,6,
2013-08,56,
2013-09,25,
2013-10,32,
2013-11,56,
2013-12,60,
2014-01,25,
2014-02,42,
2014-03,25,
2014-04,3,
2014-05,1,
2014-06,-,Nothing exists
2014-07,10,
2014-08,-,Nothing exists
2014-09,-,Nothing exists
2014-10,-,Nothing exists
2014-11,1,
