"",BBK01.CEFC10,BBK01.CEFC10_FLAGS
"",Financial derivatives and employee stock options  debtor: Non-financial corporations      creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:18,
1999-01,4.6,
1999-04,5.1,
1999-07,5.1,
1999-10,5.1,
2000-01,5.1,
2000-04,5.1,
2000-07,5.7,
2000-10,6.3,
2001-01,6.7,
2001-04,7.1,
2001-07,7.8,
2001-10,8.6,
2002-01,9.0,
2002-04,9.2,
2002-07,10.3,
2002-10,10.6,
2003-01,11.4,
2003-04,11.8,
2003-07,11.2,
2003-10,10.7,
2004-01,12.3,
2004-04,11.4,
2004-07,11.3,
2004-10,11.4,
2005-01,12.1,
2005-04,12.2,
2005-07,12.7,
2005-10,12.7,
2006-01,13.2,
2006-04,13.4,
2006-07,13.1,
2006-10,13.0,
2007-01,14.1,
2007-04,15.2,
2007-07,15.6,
2007-10,16.3,
2008-01,18.2,
2008-04,17.2,
2008-07,19.1,
2008-10,20.4,
2009-01,21.3,
2009-04,13.9,
2009-07,13.2,
2009-10,12.2,
2010-01,13.2,
2010-04,16.2,
2010-07,14.9,
2010-10,10.9,
2011-01,10.3,
2011-04,13.4,
2011-07,26.5,
2011-10,31.9,
2012-01,35.2,
2012-04,38.1,
2012-07,35.6,
2012-10,40.2,
2013-01,26.0,
2013-04,47.5,
2013-07,45.1,
2013-10,37.3,
2014-01,39.5,
2014-04,42.0,
2014-07,44.4,
