"",BBSF2.M.1.S.00000.IMM01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
2003-09,67,
2003-10,67,
2003-11,68,
2003-12,75,
2004-01,75,
2004-02,76,
2004-03,78,
2004-04,78,
2004-05,78,
2004-06,80,
2004-07,83,
2004-08,83,
2004-09,83,
2004-10,82,
2004-11,83,
2004-12,86,
2005-01,88,
2005-02,88,
2005-03,90,
2005-04,90,
2005-05,90,
2005-06,92,
2005-07,93,
2005-08,95,
2005-09,96,
2005-10,96,
2005-11,98,
2005-12,101,
2006-01,99,
2006-02,99,
2006-03,99,
2006-04,99,
2006-05,102,
2006-06,102,
2006-07,102,
2006-08,104,
2006-09,105,
2006-10,105,
2006-11,107,
2006-12,109,
2007-01,109,
2007-02,110,
2007-03,111,
2007-04,112,
2007-05,116,
2007-06,116,
2007-07,116,
2007-08,117,
2007-09,116,
2007-10,118,
2007-11,118,
2007-12,118,
2008-01,117,
2008-02,116,
2008-03,117,
2008-04,117,
2008-05,117,
2008-06,118,
2008-07,118,
2008-08,119,
2008-09,120,
2008-10,120,
2008-11,123,
2008-12,124,
2009-01,125,
2009-02,126,
2009-03,126,
2009-04,126,
2009-05,127,
2009-06,129,
2009-07,130,
2009-08,131,
2009-09,133,
2009-10,134,
2009-11,135,
2009-12,136,
2010-01,140,
2010-02,140,
2010-03,140,
2010-04,142,
2010-05,142,
2010-06,143,
2010-07,143,
2010-08,144,
2010-09,146,
2010-10,149,
2010-11,150,
2010-12,153,
2011-01,154,
2011-02,155,
2011-03,156,
2011-04,158,
2011-05,161,
2011-06,166,
2011-07,169,
2011-08,169,
2011-09,168,
2011-10,169,
2011-11,173,
2011-12,176,
2012-01,182,
2012-02,182,
2012-03,186,
2012-04,193,
2012-05,196,
2012-06,198,
2012-07,200,
2012-08,241,
2012-09,275,
2012-10,358,
2012-11,358,
2012-12,361,
2013-01,362,
2013-02,363,
2013-03,363,
2013-04,353,
2013-05,359,
2013-06,340,
2013-07,351,
2013-08,340,
2013-09,348,
2013-10,349,
2013-11,342,
2013-12,342,
2014-01,340,
2014-02,335,
2014-03,332,
2014-04,331,
2014-05,325,
2014-06,326,
2014-07,329,
2014-08,327,
2014-09,326,
2014-10,325,
2014-11,328,
