"",BBSF2.M.1.S.I1252.IMM01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.IMM01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Net asset value / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:01,
2009-09,9136,
2009-10,9135,
2009-11,9244,
2009-12,8869,
2010-01,8965,
2010-02,8960,
2010-03,8939,
2010-04,8879,
2010-05,8898,
2010-06,8923,
2010-07,8960,
2010-08,9072,
2010-09,9120,
2010-10,9160,
2010-11,9293,
2010-12,9501,
2011-01,9549,
2011-02,9591,
2011-03,9632,
2011-04,9636,
2011-05,9631,
2011-06,9644,
2011-07,9651,
2011-08,9555,
2011-09,9281,
2011-10,9323,
2011-11,8996,
2011-12,8764,
2012-01,8763,
2012-02,8810,
2012-03,8807,
2012-04,8855,
2012-05,8860,
2012-06,9001,
2012-07,9029,
2012-08,9019,
2012-09,9014,
2012-10,9143,
2012-11,9160,
2012-12,9119,
2013-01,9168,
2013-02,9207,
2013-03,9321,
2013-04,9305,
2013-05,8923,
2013-06,8982,
2013-07,8993,
2013-08,9050,
2013-09,8996,
2013-10,9057,
2013-11,9170,
2013-12,9130,
2014-01,9139,
2014-02,9110,
2014-03,9112,
2014-04,9071,
2014-05,9116,
2014-06,9317,
2014-07,9321,
2014-08,9215,
2014-09,9190,
2014-10,9359,
2014-11,9334,
