"",BBK01.OEAC26G,BBK01.OEAC26G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:21,
2002-01,0.783,
2002-04,0.787,
2002-07,0.750,
2002-10,0.792,
2003-01,0.783,
2003-04,0.714,
2003-07,0.725,
2003-10,0.779,
2004-01,0.632,
2004-04,0.618,
2004-07,0.601,
2004-10,0.617,
2005-01,0.575,
2005-04,0.582,
2005-07,0.514,
2005-10,0.461,
2006-01,0.529,
2006-04,0.496,
2006-07,0.384,
2006-10,0.385,
2007-01,0.391,
2007-04,0.388,
2007-07,0.382,
2007-10,0.379,
2008-01,0.440,
2008-04,0.436,
2008-07,0.444,
2008-10,0.439,
2009-01,0.463,
2009-04,0.444,
2009-07,0.504,
2009-10,0.495,
2010-01,0.448,
2010-04,0.353,
2010-07,0.352,
2010-10,0.306,
2011-01,0.343,
2011-04,0.343,
2011-07,0.339,
2011-10,0.377,
2012-01,0.418,
2012-04,0.396,
2012-07,0.374,
2012-10,0.355,
2013-01,0.340,
2013-04,0.361,
2013-07,0.364,
2013-10,0.371,
2014-01,0.394,
2014-04,0.365,
2014-07,0.395,
