"",BBFB1.Q.N.DE.A5.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:53,
1991-01,349.104,
1991-04,112.333,
1991-07,219.096,
1991-10,254.770,
1992-01,-21.407,
1992-04,90.513,
1992-07,161.932,
1992-10,144.453,
1993-01,131.746,
1993-04,155.132,
1993-07,211.159,
1993-10,28.587,
1994-01,473.085,
1994-04,327.877,
1994-07,317.817,
1994-10,481.687,
1995-01,56.347,
1995-04,176.919,
1995-07,61.137,
1995-10,59.439,
1996-01,-292.599,
1996-04,24.201,
1996-07,117.970,
1996-10,43.900,
1997-01,242.595,
1997-04,197.522,
1997-07,340.204,
1997-10,497.209,
1998-01,881.125,
1998-04,520.756,
1998-07,583.751,
1998-10,1034.740,
1999-01,274.135,
1999-04,830.543,
1999-07,467.768,
1999-10,754.824,
2000-01,574.176,
2000-04,703.154,
2000-07,1028.885,
2000-10,795.280,
2001-01,1373.634,
2001-04,1082.404,
2001-07,279.773,
2001-10,1079.705,
2002-01,1429.653,
2002-04,275.592,
2002-07,-59.170,
2002-10,-171.740,
2003-01,-162.234,
2003-04,-66.067,
2003-07,-132.099,
2003-10,250.175,
2004-01,-118.459,
2004-04,-404.318,
2004-07,1481.354,
2004-10,1081.041,
2005-01,0.344,
2005-04,3383.816,
2005-07,-868.834,
2005-10,-441.027,
2006-01,2284.386,
2006-04,579.082,
2006-07,1652.603,
2006-10,13.644,
2007-01,2360.910,
2007-04,1932.691,
2007-07,6409.273,
2007-10,8001.289,
2008-01,1556.496,
2008-04,1578.702,
2008-07,2146.725,
2008-10,-1308.533,
2009-01,872.827,
2009-04,1916.149,
2009-07,-321.985,
2009-10,1351.799,
2010-01,1305.081,
2010-04,765.629,
2010-07,-610.215,
2010-10,-3814.325,
2011-01,-3411.265,
2011-04,128.232,
2011-07,3050.721,
2011-10,5026.497,
2012-01,1152.396,
2012-04,-300.238,
2012-07,1381.099,
2012-10,2572.079,
2013-01,-751.870,
2013-04,-632.894,
2013-07,-535.349,
2013-10,-684.376,
2014-01,70.863,Provisional value
2014-04,17.967,Provisional value
2014-07,34.892,Provisional value
2014-10,370.465,Provisional value
