"",BBK01.OEBM03M,BBK01.OEBM03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:31,
2002-01,0.535,
2002-04,0.592,
2002-07,0.505,
2002-10,0.451,
2003-01,0.337,
2003-04,0.379,
2003-07,0.344,
2003-10,0.394,
2004-01,0.306,
2004-04,0.314,
2004-07,0.264,
2004-10,0.351,
2005-01,0.272,
2005-04,0.407,
2005-07,0.309,
2005-10,0.344,
2006-01,0.281,
2006-04,0.362,
2006-07,0.323,
2006-10,0.367,
2007-01,0.337,
2007-04,0.447,
2007-07,0.519,
2007-10,0.464,
2008-01,0.398,
2008-04,0.505,
2008-07,0.334,
2008-10,0.508,
2009-01,0.530,
2009-04,0.562,
2009-07,0.512,
2009-10,0.518,
2010-01,0.483,
2010-04,0.415,
2010-07,0.406,
2010-10,0.401,
2011-01,0.334,
2011-04,0.466,
2011-07,0.459,
2011-10,0.390,
2012-01,0.586,
2012-04,0.697,
2012-07,0.615,
2012-10,0.694,
2013-01,1.287,
2013-04,1.391,
2013-07,1.481,
2013-10,1.385,
2014-01,1.393,
2014-04,1.748,
2014-07,2.067,
