"",BBK01.OEXO02G,BBK01.OEXO02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:36,
2002-01,2.338,
2002-04,1.922,
2002-07,1.940,
2002-10,1.966,
2003-01,2.496,
2003-04,2.077,
2003-07,2.224,
2003-10,2.035,
2004-01,2.604,
2004-04,2.237,
2004-07,1.859,
2004-10,2.135,
2005-01,1.140,
2005-04,0.978,
2005-07,0.735,
2005-10,0.838,
2006-01,0.827,
2006-04,0.838,
2006-07,0.770,
2006-10,0.917,
2007-01,1.375,
2007-04,1.034,
2007-07,1.031,
2007-10,1.251,
2008-01,1.310,
2008-04,1.143,
2008-07,1.162,
2008-10,2.210,
2009-01,1.088,
2009-04,0.931,
2009-07,0.967,
2009-10,0.960,
2010-01,0.901,
2010-04,0.570,
2010-07,0.629,
2010-10,1.225,
2011-01,1.169,
2011-04,0.800,
2011-07,0.661,
2011-10,0.743,
2012-01,0.797,
2012-04,0.739,
2012-07,0.587,
2012-10,0.597,
2013-01,0.518,
2013-04,0.458,
2013-07,0.435,
2013-10,0.427,
2014-01,0.622,
2014-04,0.360,
2014-07,0.626,
