"",BBK01.OECI01L,BBK01.OECI01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:21,
2002-01,147.187,
2002-04,146.471,
2002-07,144.495,
2002-10,124.990,
2003-01,152.663,
2003-04,150.772,
2003-07,164.976,
2003-10,145.737,
2004-01,169.991,
2004-04,157.594,
2004-07,182.077,
2004-10,170.171,
2005-01,193.802,
2005-04,193.800,
2005-07,202.758,
2005-10,184.452,
2006-01,201.638,
2006-04,206.239,
2006-07,211.825,
2006-10,199.969,
2007-01,195.334,
2007-04,217.217,
2007-07,201.464,
2007-10,193.264,
2008-01,219.249,
2008-04,190.181,
2008-07,184.945,
2008-10,161.544,
2009-01,157.836,
2009-04,161.563,
2009-07,151.634,
2009-10,142.224,
2010-01,145.644,
2010-04,155.840,
2010-07,153.450,
2010-10,143.763,
2011-01,142.150,
2011-04,163.559,
2011-07,158.295,
2011-10,142.679,
2012-01,152.520,
2012-04,147.465,
2012-07,152.227,
2012-10,151.834,
2013-01,165.494,
2013-04,192.231,
2013-07,151.524,
2013-10,160.993,
2014-01,152.196,
2014-04,151.751,
2014-07,160.523,
