"",BBK01.OEBB04I,BBK01.OEBB04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:49,
2002-01,24.231,
2002-04,24.140,
2002-07,24.031,
2002-10,23.919,
2003-01,23.712,
2003-04,23.671,
2003-07,20.758,
2003-10,19.827,
2004-01,19.925,
2004-04,20.061,
2004-07,20.222,
2004-10,20.184,
2005-01,23.282,
2005-04,23.386,
2005-07,23.148,
2005-10,23.575,
2006-01,24.027,
2006-04,24.068,
2006-07,23.301,
2006-10,25.708,
2007-01,27.166,
2007-04,28.082,
2007-07,29.105,
2007-10,29.743,
2008-01,31.208,
2008-04,34.258,
2008-07,35.912,
2008-10,37.975,
2009-01,38.847,
2009-04,41.978,
2009-07,42.012,
2009-10,42.378,
2010-01,42.392,
2010-04,42.125,
2010-07,43.822,
2010-10,43.967,
2011-01,43.737,
2011-04,43.581,
2011-07,43.709,
2011-10,45.980,
2012-01,46.096,
2012-04,44.142,
2012-07,44.257,
2012-10,44.192,
2013-01,43.480,
2013-04,44.010,
2013-07,44.414,
2013-10,45.197,
2014-01,45.375,
2014-04,45.746,
2014-07,45.868,
