"",BBK01.OELL06N,BBK01.OELL06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:15,
2002-01,4.147,
2002-04,4.190,
2002-07,4.210,
2002-10,4.182,
2003-01,4.055,
2003-04,3.974,
2003-07,3.906,
2003-10,3.967,
2004-01,4.002,
2004-04,3.983,
2004-07,3.951,
2004-10,3.873,
2005-01,3.716,
2005-04,3.608,
2005-07,3.574,
2005-10,3.540,
2006-01,3.501,
2006-04,3.457,
2006-07,3.460,
2006-10,3.562,
2007-01,3.615,
2007-04,3.724,
2007-07,3.877,
2007-10,3.925,
2008-01,3.902,
2008-04,3.931,
2008-07,4.068,
2008-10,4.226,
2009-01,3.945,
2009-04,3.679,
2009-07,3.519,
2009-10,3.293,
2010-01,3.337,
2010-04,3.343,
2010-07,3.440,
2010-10,3.439,
2011-01,3.520,
2011-04,3.643,
2011-07,3.744,
2011-10,3.764,
2012-01,3.695,
2012-04,3.584,
2012-07,3.264,
2012-10,3.047,
2013-01,2.798,
2013-04,2.609,
2013-07,2.473,
2013-10,2.354,
2014-01,2.203,
2014-04,2.053,
2014-07,1.940,
