"",BBK01.OEHM01S,BBK01.OEHM01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:27,
2002-01,0.676,
2002-04,0.687,
2002-07,0.678,
2002-10,0.724,
2003-01,0.624,
2003-04,0.588,
2003-07,0.524,
2003-10,0.555,
2004-01,0.505,
2004-04,0.551,
2004-07,0.533,
2004-10,0.518,
2005-01,0.527,
2005-04,0.643,
2005-07,0.592,
2005-10,0.587,
2006-01,0.508,
2006-04,0.579,
2006-07,0.567,
2006-10,0.636,
2007-01,0.676,
2007-04,0.797,
2007-07,0.842,
2007-10,0.852,
2008-01,0.826,
2008-04,0.896,
2008-07,0.904,
2008-10,0.944,
2009-01,0.826,
2009-04,0.725,
2009-07,0.653,
2009-10,0.712,
2010-01,0.602,
2010-04,0.629,
2010-07,0.715,
2010-10,0.758,
2011-01,0.668,
2011-04,0.759,
2011-07,0.701,
2011-10,0.811,
2012-01,0.714,
2012-04,0.797,
2012-07,0.752,
2012-10,0.978,
2013-01,0.781,
2013-04,0.841,
2013-07,0.836,
2013-10,0.953,
2014-01,0.912,
2014-04,0.929,
2014-07,0.895,
