"",BBDE1.M.DE.Y.AEB5.N2C290000.F.C.I10.A,BBDE1.M.DE.Y.AEB5.N2C290000.F.C.I10.A_FLAGS
"","Orders received from abroad / At constant prices / Germany / 29 Manufacture of motor vehicles, trailers and semi-trailers / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:20,
1991-01,43.1,
1991-02,37.2,
1991-03,38.0,
1991-04,37.6,
1991-05,37.1,
1991-06,39.8,
1991-07,35.6,
1991-08,49.0,
1991-09,40.4,
1991-10,39.6,
1991-11,42.1,
1991-12,40.5,
1992-01,38.9,
1992-02,43.9,
1992-03,40.6,
1992-04,38.2,
1992-05,39.5,
1992-06,37.2,
1992-07,39.4,
1992-08,36.5,
1992-09,37.4,
1992-10,32.1,
1992-11,31.9,
1992-12,35.2,
1993-01,35.7,
1993-02,32.9,
1993-03,33.6,
1993-04,32.9,
1993-05,33.0,
1993-06,32.7,
1993-07,34.4,
1993-08,32.5,
1993-09,36.6,
1993-10,35.5,
1993-11,34.8,
1993-12,35.8,
1994-01,34.7,
1994-02,37.2,
1994-03,44.7,
1994-04,38.8,
1994-05,37.0,
1994-06,42.2,
1994-07,39.2,
1994-08,40.9,
1994-09,40.3,
1994-10,39.5,
1994-11,42.3,
1994-12,42.9,
1995-01,40.4,
1995-02,42.0,
1995-03,40.7,
1995-04,39.5,
1995-05,39.4,
1995-06,38.4,
1995-07,39.7,
1995-08,37.5,
1995-09,39.4,
1995-10,40.5,
1995-11,40.3,
1995-12,40.7,
1996-01,41.4,
1996-02,42.0,
1996-03,41.8,
1996-04,45.6,
1996-05,45.9,
1996-06,44.3,
1996-07,43.6,
1996-08,47.4,
1996-09,43.6,
1996-10,48.6,
1996-11,47.7,
1996-12,47.3,
1997-01,50.1,
1997-02,48.7,
1997-03,51.1,
1997-04,50.6,
1997-05,48.8,
1997-06,51.3,
1997-07,48.9,
1997-08,49.7,
1997-09,49.7,
1997-10,49.9,
1997-11,48.2,
1997-12,51.3,
1998-01,54.0,
1998-02,53.1,
1998-03,53.0,
1998-04,59.8,
1998-05,54.1,
1998-06,53.7,
1998-07,57.2,
1998-08,55.5,
1998-09,55.4,
1998-10,57.9,
1998-11,56.9,
1998-12,62.3,
1999-01,54.7,
1999-02,58.7,
1999-03,60.9,
1999-04,61.2,
1999-05,60.5,
1999-06,61.5,
1999-07,63.2,
1999-08,70.7,
1999-09,65.0,
1999-10,67.0,
1999-11,66.8,
1999-12,66.7,
2000-01,64.0,
2000-02,67.5,
2000-03,68.6,
2000-04,70.1,
2000-05,69.9,
2000-06,70.9,
2000-07,75.8,
2000-08,73.5,
2000-09,77.1,
2000-10,76.8,
2000-11,76.8,
2000-12,79.4,
2001-01,79.0,
2001-02,82.5,
2001-03,79.9,
2001-04,80.9,
2001-05,81.7,
2001-06,81.3,
2001-07,79.4,
2001-08,83.2,
2001-09,79.0,
2001-10,76.8,
2001-11,78.8,
2001-12,78.0,
2002-01,81.4,
2002-02,79.1,
2002-03,84.0,
2002-04,81.7,
2002-05,85.7,
2002-06,83.2,
2002-07,84.6,
2002-08,94.7,
2002-09,85.4,
2002-10,84.3,
2002-11,88.1,
2002-12,81.1,
2003-01,85.2,
2003-02,84.7,
2003-03,80.9,
2003-04,81.7,
2003-05,81.2,
2003-06,79.9,
2003-07,81.4,
2003-08,85.7,
2003-09,80.9,
2003-10,82.5,
2003-11,83.3,
2003-12,84.3,
2004-01,82.5,
2004-02,81.8,
2004-03,86.2,
2004-04,90.7,
2004-05,92.5,
2004-06,88.4,
2004-07,87.7,
2004-08,83.2,
2004-09,87.6,
2004-10,83.9,
2004-11,84.3,
2004-12,94.1,
2005-01,84.3,
2005-02,84.6,
2005-03,91.3,
2005-04,87.0,
2005-05,88.9,
2005-06,97.4,
2005-07,93.4,
2005-08,89.8,
2005-09,99.7,
2005-10,99.7,
2005-11,103.3,
2005-12,92.5,
2006-01,104.3,
2006-02,101.9,
2006-03,101.9,
2006-04,104.1,
2006-05,103.4,
2006-06,102.8,
2006-07,101.8,
2006-08,102.6,
2006-09,103.4,
2006-10,102.3,
2006-11,106.0,
2006-12,105.2,
2007-01,107.9,
2007-02,116.0,
2007-03,107.2,
2007-04,108.4,
2007-05,111.5,
2007-06,112.8,
2007-07,114.4,
2007-08,113.3,
2007-09,112.9,
2007-10,118.2,
2007-11,114.1,
2007-12,119.7,
2008-01,113.3,
2008-02,115.5,
2008-03,113.8,
2008-04,113.8,
2008-05,109.6,
2008-06,110.5,
2008-07,98.2,
2008-08,104.9,
2008-09,94.9,
2008-10,81.1,
2008-11,74.9,
2008-12,68.4,
2009-01,58.7,
2009-02,60.1,
2009-03,67.4,
2009-04,68.6,
2009-05,78.5,
2009-06,83.8,
2009-07,79.4,
2009-08,86.9,
2009-09,88.8,
2009-10,85.9,
2009-11,87.4,
2009-12,88.8,
2010-01,89.9,
2010-02,91.3,
2010-03,92.9,
2010-04,101.8,
2010-05,101.4,
2010-06,98.3,
2010-07,101.1,
2010-08,105.2,
2010-09,102.8,
2010-10,101.3,
2010-11,106.3,
2010-12,103.6,
2011-01,108.5,
2011-02,108.1,
2011-03,106.3,
2011-04,103.3,
2011-05,103.7,
2011-06,109.0,
2011-07,103.9,
2011-08,107.0,
2011-09,108.2,
2011-10,107.2,
2011-11,105.4,
2011-12,104.5,
2012-01,104.8,
2012-02,107.4,
2012-03,109.3,
2012-04,110.0,
2012-05,107.3,
2012-06,110.6,
2012-07,109.4,
2012-08,107.6,
2012-09,104.4,
2012-10,108.8,
2012-11,111.5,
2012-12,110.2,
2013-01,108.1,
2013-02,110.1,
2013-03,112.0,
2013-04,112.4,
2013-05,116.3,
2013-06,117.4,
2013-07,111.2,
2013-08,114.4,
2013-09,114.3,
2013-10,109.8,
2013-11,117.0,
2013-12,120.6,
2014-01,123.6,
2014-02,119.7,
2014-03,121.3,
2014-04,119.0,
2014-05,116.6,
2014-06,121.1,
2014-07,120.6,
2014-08,113.4,
2014-09,120.8,
2014-10,125.0,
2014-11,126.5,
2014-12,127.8,Provisional value
