"",BBK01.OEHL06V,BBK01.OEHL06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:06,
2002-01,2.527,
2002-04,2.645,
2002-07,2.661,
2002-10,2.676,
2003-01,2.656,
2003-04,2.621,
2003-07,2.583,
2003-10,2.555,
2004-01,2.612,
2004-04,2.561,
2004-07,2.498,
2004-10,2.350,
2005-01,2.223,
2005-04,2.107,
2005-07,2.013,
2005-10,1.989,
2006-01,1.968,
2006-04,1.920,
2006-07,1.902,
2006-10,1.864,
2007-01,1.827,
2007-04,1.862,
2007-07,1.937,
2007-10,2.024,
2008-01,2.076,
2008-04,2.180,
2008-07,2.304,
2008-10,2.378,
2009-01,2.119,
2009-04,1.909,
2009-07,1.710,
2009-10,1.657,
2010-01,1.643,
2010-04,1.610,
2010-07,1.558,
2010-10,1.531,
2011-01,1.562,
2011-04,1.653,
2011-07,1.600,
2011-10,1.559,
2012-01,1.506,
2012-04,1.482,
2012-07,1.438,
2012-10,1.375,
2013-01,1.329,
2013-04,1.322,
2013-07,1.306,
2013-10,1.266,
2014-01,1.238,
2014-04,1.138,
2014-07,1.082,
