"",BBK01.WXIF28,BBK01.WXIF28_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:53,
2009-09,219,
2009-10,234,
2009-11,253,
2009-12,267,
2010-01,304,
2010-02,289,
2010-03,304,
2010-04,315,
2010-05,316,
2010-06,307,
2010-07,312,
2010-08,324,
2010-09,339,
2010-10,335,
2010-11,402,
2010-12,469,
2011-01,492,
2011-02,518,
2011-03,507,
2011-04,531,
2011-05,562,
2011-06,491,
2011-07,495,
2011-08,433,
2011-09,370,
2011-10,354,
2011-11,393,
2011-12,383,
2012-01,389,
2012-02,431,
2012-03,449,
2012-04,458,
2012-05,440,
2012-06,435,
2012-07,525,
2012-08,546,
2012-09,544,
2012-10,571,
2012-11,568,
2012-12,553,
2013-01,554,
2013-02,533,
2013-03,527,
2013-04,500,
2013-05,487,
2013-06,451,
2013-07,444,
2013-08,498,
2013-09,466,
2013-10,467,
2013-11,477,
2013-12,431,
2014-01,455,
2014-02,504,
2014-03,490,
2014-04,512,
2014-05,529,
2014-06,518,
2014-07,552,
2014-08,561,
2014-09,555,
2014-10,543,
2014-11,538,
