"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.CH.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.CH.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Switzerland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:03,
2009-09,5011,
2009-10,4894,
2009-11,4867,
2009-12,5160,
2010-01,5396,
2010-02,5718,
2010-03,6068,
2010-04,5670,
2010-05,5481,
2010-06,5713,
2010-07,5550,
2010-08,5811,
2010-09,5839,
2010-10,5893,
2010-11,6211,
2010-12,6704,
2011-01,6216,
2011-02,6198,
2011-03,5902,
2011-04,6100,
2011-05,6416,
2011-06,6014,
2011-07,5954,
2011-08,5430,
2011-09,5108,
2011-10,5369,
2011-11,5141,
2011-12,5510,
2012-01,5569,
2012-02,5681,
2012-03,5851,
2012-04,5828,
2012-05,5519,
2012-06,5615,
2012-07,5938,
2012-08,6027,
2012-09,6059,
2012-10,6140,
2012-11,6325,
2012-12,6288,
2013-01,6528,
2013-02,6834,
2013-03,7103,
2013-04,7301,
2013-05,7341,
2013-06,7207,
2013-07,7393,
2013-08,7459,
2013-09,7765,
2013-10,7981,
2013-11,7973,
2013-12,7834,
2014-01,7816,
2014-02,8143,
2014-03,8029,
2014-04,7993,
2014-05,8219,
2014-06,8164,
2014-07,8060,
2014-08,8262,
2014-09,8403,
2014-10,8410,
2014-11,8616,
