"",BBK01.OEAO03G,BBK01.OEAO03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:29,
2002-01,14.693,
2002-04,13.075,
2002-07,10.985,
2002-10,11.572,
2003-01,12.977,
2003-04,11.092,
2003-07,10.670,
2003-10,11.875,
2004-01,12.903,
2004-04,10.713,
2004-07,10.552,
2004-10,12.077,
2005-01,11.153,
2005-04,10.808,
2005-07,10.851,
2005-10,11.261,
2006-01,12.529,
2006-04,11.946,
2006-07,11.392,
2006-10,13.877,
2007-01,14.634,
2007-04,12.920,
2007-07,12.106,
2007-10,13.660,
2008-01,14.151,
2008-04,12.386,
2008-07,12.207,
2008-10,13.848,
2009-01,10.893,
2009-04,11.196,
2009-07,11.276,
2009-10,12.399,
2010-01,11.219,
2010-04,9.697,
2010-07,8.800,
2010-10,10.405,
2011-01,10.299,
2011-04,10.530,
2011-07,10.330,
2011-10,10.702,
2012-01,10.660,
2012-04,10.347,
2012-07,9.842,
2012-10,10.646,
2013-01,11.070,
2013-04,9.771,
2013-07,8.488,
2013-10,8.883,
2014-01,8.988,
2014-04,9.001,
2014-07,8.247,
