"",BBFN1.M.DE.N.1.A.E1.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.E1.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Countries in Europe,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:33,
1995-01,163.710,
1995-02,162.335,
1995-03,164.733,
1995-04,167.574,
1995-05,169.085,
1995-06,168.271,
1995-07,166.970,
1995-08,162.289,
1995-09,164.636,
1995-10,166.234,
1995-11,166.052,
1995-12,151.249,
1996-01,157.231,
1996-02,159.456,
1996-03,165.803,
1996-04,170.666,
1996-05,172.595,
1996-06,167.743,
1996-07,163.636,
1996-08,159.647,
1996-09,161.672,
1996-10,164.711,
1996-11,170.107,
1996-12,165.238,
1997-01,174.223,
1997-02,179.718,
1997-03,180.634,
1997-04,185.655,
1997-05,185.267,
1997-06,181.632,
1997-07,184.651,
1997-08,176.779,
1997-09,178.268,
1997-10,185.132,
1997-11,181.110,
1997-12,169.030,
1998-01,184.883,
1998-02,191.359,
1998-03,197.503,
1998-04,208.772,
1998-05,211.335,
1998-06,202.462,
1998-07,202.312,
1998-08,194.830,
1998-09,199.393,
1998-10,205.208,
1998-11,200.201,
1998-12,183.513,
1999-01,177.646,
1999-02,183.224,
1999-03,190.347,
1999-04,193.859,
1999-05,195.960,
1999-06,200.078,
1999-07,198.902,
1999-08,197.320,
1999-09,200.118,
1999-10,198.177,
1999-11,200.728,
1999-12,186.377,
2000-01,195.414,
2000-02,203.513,
2000-03,216.147,
2000-04,215.978,
2000-05,217.024,
2000-06,219.160,
2000-07,213.905,
2000-08,230.293,
2000-09,221.013,
2000-10,230.092,
2000-11,223.281,
2000-12,209.523,
2001-01,231.839,
2001-02,243.848,
2001-03,248.882,
2001-04,250.221,
2001-05,240.390,
2001-06,242.956,
2001-07,241.530,
2001-08,237.332,
2001-09,230.574,
2001-10,234.562,
2001-11,233.889,
2001-12,232.628,
2002-01,244.717,
2002-02,245.971,
2002-03,244.843,
2002-04,256.405,
2002-05,258.906,
2002-06,248.425,
2002-07,247.339,
2002-08,245.924,
2002-09,251.756,
2002-10,256.398,
2002-11,248.331,
2002-12,234.163,
2003-01,253.609,
2003-02,259.444,
2003-03,271.043,
2003-04,283.670,
2003-05,284.692,
2003-06,280.049,
2003-07,286.943,
2003-08,274.134,
2003-09,277.147,
2003-10,281.746,
2003-11,279.362,
2003-12,266.563,
2004-01,285.036,
2004-02,286.944,
2004-03,295.362,
2004-04,291.661,
2004-05,287.969,
2004-06,293.304,
2004-07,294.896,
2004-08,291.936,
2004-09,298.431,
2004-10,300.890,
2004-11,295.969,
2004-12,284.935,
2005-01,291.546,
2005-02,295.415,
2005-03,308.163,
2005-04,304.144,
2005-05,300.823,
2005-06,299.529,
2005-07,302.798,
2005-08,301.003,
2005-09,313.558,
2005-10,317.637,
2005-11,316.037,
2005-12,301.954,
2006-01,309.967,
2006-02,323.387,
2006-03,330.342,
2006-04,336.177,
2006-05,333.034,
2006-06,332.609,
2006-07,326.892,
2006-08,332.651,
2006-09,345.434,
2006-10,350.059,
2006-11,354.869,
2006-12,342.409,
2007-01,358.292,
2007-02,369.258,
2007-03,381.761,
2007-04,381.194,
2007-05,383.816,
2007-06,390.650,
2007-07,392.032,
2007-08,392.951,
2007-09,399.561,
2007-10,420.037,
2007-11,422.468,
2007-12,399.652,
2008-01,423.975,
2008-02,429.558,
2008-03,441.435,
2008-04,446.745,
2008-05,445.808,
2008-06,442.813,
2008-07,448.405,
2008-08,442.140,
2008-09,456.011,
2008-10,455.604,
2008-11,454.067,
2008-12,440.484,
2009-01,439.772,
2009-02,440.408,
2009-03,463.569,
2009-04,461.950,
2009-05,461.759,
2009-06,465.572,
2009-07,462.178,
2009-08,461.690,
2009-09,468.671,
2009-10,482.172,
2009-11,486.826,
2009-12,486.521,
2010-01,477.000,
2010-02,488.847,
2010-03,501.854,
2010-04,513.879,
2010-05,517.667,
2010-06,522.873,
2010-07,532.544,
2010-08,539.879,
2010-09,547.318,
2010-10,558.405,
2010-11,564.088,
2010-12,543.926,
2011-01,569.102,
2011-02,567.677,
2011-03,571.509,
2011-04,569.799,
2011-05,591.750,
2011-06,582.634,
2011-07,594.939,
2011-08,609.246,
2011-09,618.297,
2011-10,613.067,
2011-11,605.893,
2011-12,565.166,
2012-01,593.356,
2012-02,596.152,
2012-03,607.871,
2012-04,597.046,
2012-05,609.152,
2012-06,624.983,
2012-07,622.615,
2012-08,608.635,
2012-09,625.630,
2012-10,614.877,
2012-11,626.470,
2012-12,602.949,
2013-01,626.728,
2013-02,633.234,
2013-03,646.886,
2013-04,647.231,
2013-05,644.793,
2013-06,660.541,
2013-07,635.275,
2013-08,623.103,
2013-09,638.353,
2013-10,641.452,
2013-11,648.901,
2013-12,635.881,
2014-01,640.459,
2014-02,646.225,
2014-03,673.339,
2014-04,669.028,
2014-05,687.130,
2014-06,680.644,
2014-07,671.731,
2014-08,681.261,
2014-09,688.494,
2014-10,678.899,
2014-11,679.785,
2014-12,652.880,
