"",BBFN1.M.DE.N.1.A.CL.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CL.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Chile,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:53,
1995-01,0.055,
1995-02,0.055,
1995-03,0.052,
1995-04,0.047,
1995-05,0.044,
1995-06,0.043,
1995-07,0.042,
1995-08,0.042,
1995-09,0.043,
1995-10,0.046,
1995-11,0.045,
1995-12,0.044,
1996-01,0.043,
1996-02,0.043,
1996-03,0.048,
1996-04,0.049,
1996-05,0.051,
1996-06,0.053,
1996-07,0.048,
1996-08,0.051,
1996-09,0.072,
1996-10,0.072,
1996-11,0.071,
1996-12,0.075,
1997-01,0.074,
1997-02,0.077,
1997-03,0.080,
1997-04,0.077,
1997-05,0.074,
1997-06,0.077,
1997-07,0.076,
1997-08,0.079,
1997-09,0.080,
1997-10,0.079,
1997-11,0.068,
1997-12,0.067,
1998-01,0.066,
1998-02,0.064,
1998-03,0.070,
1998-04,0.067,
1998-05,0.069,
1998-06,0.067,
1998-07,0.063,
1998-08,0.066,
1998-09,0.046,
1998-10,0.063,
1998-11,0.061,
1998-12,0.066,
1999-01,0.066,
1999-02,0.068,
1999-03,0.063,
1999-04,0.083,
1999-05,0.088,
1999-06,0.092,
1999-07,0.091,
1999-08,0.088,
1999-09,0.090,
1999-10,0.086,
1999-11,0.080,
1999-12,0.081,
2000-01,0.088,
2000-02,0.086,
2000-03,0.092,
2000-04,0.091,
2000-05,0.089,
2000-06,0.076,
2000-07,0.075,
2000-08,0.079,
2000-09,0.078,
2000-10,0.073,
2000-11,0.078,
2000-12,0.077,
2001-01,0.089,
2001-02,0.090,
2001-03,0.088,
2001-04,0.090,
2001-05,0.088,
2001-06,0.093,
2001-07,0.088,
2001-08,0.085,
2001-09,0.092,
2001-10,0.083,
2001-11,0.084,
2001-12,0.071,
2002-01,0.074,
2002-02,0.073,
2002-03,0.063,
2002-04,0.071,
2002-05,0.107,
2002-06,0.108,
2002-07,0.103,
2002-08,0.113,
2002-09,0.077,
2002-10,0.080,
2002-11,0.080,
2002-12,0.079,
2003-01,0.077,
2003-02,0.079,
2003-03,0.085,
2003-04,0.082,
2003-05,0.082,
2003-06,0.081,
2003-07,0.082,
2003-08,0.072,
2003-09,0.081,
2003-10,0.073,
2003-11,0.048,
2003-12,0.059,
2004-01,0.047,
2004-02,0.055,
2004-03,0.075,
2004-04,0.067,
2004-05,0.071,
2004-06,0.069,
2004-07,0.061,
2004-08,0.065,
2004-09,0.072,
2004-10,0.067,
2004-11,0.064,
2004-12,0.067,
2005-01,0.065,
2005-02,0.079,
2005-03,0.084,
2005-04,0.093,
2005-05,0.085,
2005-06,0.089,
2005-07,0.084,
2005-08,0.084,
2005-09,0.072,
2005-10,0.073,
2005-11,0.069,
2005-12,0.056,
2006-01,0.066,
2006-02,0.081,
2006-03,0.061,
2006-04,0.060,
2006-05,0.044,
2006-06,0.059,
2006-07,0.072,
2006-08,0.061,
2006-09,0.048,
2006-10,0.050,
2006-11,0.048,
2006-12,0.055,
2007-01,0.060,
2007-02,0.060,
2007-03,0.057,
2007-04,0.067,
2007-05,0.055,
2007-06,0.060,
2007-07,0.073,
2007-08,0.053,
2007-09,0.059,
2007-10,0.054,
2007-11,0.058,
2007-12,0.087,
2008-01,0.081,
2008-02,0.087,
2008-03,0.095,
2008-04,0.100,
2008-05,0.101,
2008-06,0.094,
2008-07,0.099,
2008-08,0.105,
2008-09,0.096,
2008-10,0.098,
2008-11,0.118,
2008-12,0.123,
2009-01,0.126,
2009-02,0.128,
2009-03,0.128,
2009-04,0.128,
2009-05,0.130,
2009-06,0.124,
2009-07,0.130,
2009-08,0.135,
2009-09,0.128,
2009-10,0.124,
2009-11,0.125,
2009-12,0.137,
2010-01,0.173,
2010-02,0.175,
2010-03,0.153,
2010-04,0.166,
2010-05,0.180,
2010-06,0.196,
2010-07,0.188,
2010-08,0.226,
2010-09,0.205,
2010-10,0.155,
2010-11,0.178,
2010-12,0.190,
2011-01,0.187,
2011-02,0.198,
2011-03,0.171,
2011-04,0.221,
2011-05,0.220,
2011-06,0.206,
2011-07,0.202,
2011-08,0.196,
2011-09,0.196,
2011-10,0.198,
2011-11,0.203,
2011-12,0.194,
2012-01,0.200,
2012-02,0.230,
2012-03,0.224,
2012-04,0.224,
2012-05,0.241,
2012-06,0.226,
2012-07,0.236,
2012-08,0.224,
2012-09,0.240,
2012-10,0.255,
2012-11,0.252,
2012-12,0.221,
2013-01,0.231,
2013-02,0.247,
2013-03,0.230,
2013-04,0.230,
2013-05,0.227,
2013-06,0.224,
2013-07,0.218,
2013-08,0.223,
2013-09,0.208,
2013-10,0.204,
2013-11,0.190,
2013-12,0.470,
2014-01,0.461,
2014-02,0.455,
2014-03,0.461,
2014-04,0.466,
2014-05,0.501,
2014-06,0.485,
2014-07,0.509,
2014-08,0.280,
2014-09,0.283,
2014-10,0.279,
2014-11,0.272,
2014-12,0.274,
