"",BBFN1.M.DE.N.1.A.LU.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LU.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign banks arising from financial operations / Total / Luxembourg,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:20,
1971-12,0.021,
1972-01,.,No value available
1972-02,.,No value available
1972-03,.,No value available
1972-04,.,No value available
1972-05,.,No value available
1972-06,.,No value available
1972-07,.,No value available
1972-08,.,No value available
1972-09,.,No value available
1972-10,.,No value available
1972-11,.,No value available
1972-12,0.032,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.002,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,0.004,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,0.033,
1976-01,.,No value available
1976-02,.,No value available
1976-03,.,No value available
1976-04,.,No value available
1976-05,.,No value available
1976-06,.,No value available
1976-07,.,No value available
1976-08,.,No value available
1976-09,.,No value available
1976-10,.,No value available
1976-11,.,No value available
1976-12,0.023,
1977-01,.,No value available
1977-02,.,No value available
1977-03,.,No value available
1977-04,.,No value available
1977-05,.,No value available
1977-06,.,No value available
1977-07,.,No value available
1977-08,.,No value available
1977-09,.,No value available
1977-10,.,No value available
1977-11,.,No value available
1977-12,0.016,
1978-01,.,No value available
1978-02,.,No value available
1978-03,.,No value available
1978-04,.,No value available
1978-05,.,No value available
1978-06,.,No value available
1978-07,.,No value available
1978-08,.,No value available
1978-09,.,No value available
1978-10,.,No value available
1978-11,.,No value available
1978-12,0.048,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,0.044,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,0.058,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,0.068,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,0.063,
1982-10,0.063,
1982-11,0.063,
1982-12,0.065,
1983-01,0.047,
1983-02,0.055,
1983-03,0.098,
1983-04,0.098,
1983-05,0.098,
1983-06,0.098,
1983-07,0.097,
1983-08,0.098,
1983-09,0.098,
1983-10,0.098,
1983-11,0.104,
1983-12,0.104,
1984-01,0.111,
1984-02,0.111,
1984-03,0.110,
1984-04,0.112,
1984-05,0.112,
1984-06,0.112,
1984-07,0.112,
1984-08,0.118,
1984-09,0.118,
1984-10,0.118,
1984-11,0.117,
1984-12,0.119,
1985-01,0.122,
1985-02,0.129,
1985-03,0.115,
1985-04,0.106,
1985-05,0.105,
1985-06,0.105,
1985-07,0.105,
1985-08,0.105,
1985-09,0.079,
1985-10,0.074,
1985-11,0.072,
1985-12,0.073,
1986-01,0.073,
1986-02,0.070,
1986-03,0.062,
1986-04,0.076,
1986-05,0.076,
1986-06,0.076,
1986-07,0.099,
1986-08,0.102,
1986-09,0.097,
1986-10,0.098,
1986-11,0.096,
1986-12,0.082,
1987-01,0.081,
1987-02,0.081,
1987-03,0.080,
1987-04,0.080,
1987-05,0.093,
1987-06,0.092,
1987-07,0.071,
1987-08,0.070,
1987-09,0.072,
1987-10,0.139,
1987-11,0.187,
1987-12,0.186,
1988-01,0.187,
1988-02,0.201,
1988-03,0.174,
1988-04,0.174,
1988-05,0.175,
1988-06,0.166,
1988-07,0.168,
1988-08,0.186,
1988-09,0.183,
1988-10,0.160,
1988-11,0.160,
1988-12,0.145,
1989-01,0.141,
1989-02,0.143,
1989-03,0.144,
1989-04,0.137,
1989-05,0.159,
1989-06,0.167,
1989-07,0.162,
1989-08,0.148,
1989-09,0.153,
1989-10,0.164,
1989-11,0.162,
1989-12,0.156,
1990-01,0.244,
1990-02,0.236,
1990-03,0.222,
1990-04,0.238,
1990-05,0.244,
1990-06,0.241,
1990-07,0.244,
1990-08,0.241,
1990-09,0.251,
1990-10,0.230,
1990-11,0.220,
1990-12,0.209,
1991-01,0.210,
1991-02,0.206,
1991-03,0.188,
1991-04,0.208,
1991-05,0.209,
1991-06,0.166,
1991-07,0.255,
1991-08,0.250,
1991-09,0.243,
1991-10,0.245,
1991-11,0.244,
1991-12,0.237,
1992-01,0.247,
1992-02,0.247,
1992-03,0.227,
1992-04,0.266,
1992-05,0.262,
1992-06,0.254,
1992-07,0.261,
1992-08,0.263,
1992-09,0.264,
1992-10,0.241,
1992-11,0.238,
1992-12,0.233,
1993-01,0.233,
1993-02,0.206,
1993-03,0.160,
1993-04,0.157,
1993-05,0.147,
1993-06,0.145,
1993-07,0.134,
1993-08,0.236,
1993-09,0.230,
1993-10,0.230,
1993-11,0.218,
1993-12,0.229,
1994-01,0.215,
1994-02,0.214,
1994-03,0.212,
1994-04,0.194,
1994-05,0.088,
1994-06,0.129,
1994-07,0.159,
1994-08,0.157,
1994-09,0.192,
1994-10,0.208,
1994-11,0.200,
1994-12,0.209,
1995-01,0.208,
1995-02,0.301,
1995-03,0.296,
1995-04,0.274,
1995-05,0.249,
1995-06,0.218,
1995-07,0.216,
1995-08,0.473,
1995-09,1.414,
1995-10,1.420,
1995-11,1.421,
1995-12,1.418,
1996-01,1.412,
1996-02,1.359,
1996-03,1.334,
1996-04,1.351,
1996-05,1.358,
1996-06,1.345,
1996-07,1.363,
1996-08,1.369,
1996-09,1.336,
1996-10,1.334,
1996-11,2.372,
1996-12,2.392,
1997-01,2.387,
1997-02,2.402,
1997-03,2.404,
1997-04,2.408,
1997-05,2.420,
1997-06,2.435,
1997-07,2.432,
1997-08,2.396,
1997-09,2.383,
1997-10,2.378,
1997-11,2.365,
1997-12,2.363,
1998-01,2.353,
1998-02,2.351,
1998-03,2.391,
1998-04,2.418,
1998-05,1.856,
1998-06,1.861,
1998-07,1.861,
1998-08,1.889,
1998-09,1.870,
1998-10,2.089,
1998-11,1.666,
1998-12,1.695,
1999-01,1.686,
1999-02,1.684,
1999-03,1.678,
1999-04,1.776,
1999-05,1.810,
1999-06,2.509,
1999-07,2.522,
1999-08,2.530,
1999-09,1.707,
1999-10,1.712,
1999-11,1.709,
1999-12,1.662,
2000-01,1.674,
2000-02,1.727,
2000-03,1.742,
2000-04,1.787,
2000-05,1.823,
2000-06,1.185,
2000-07,1.187,
2000-08,1.211,
2000-09,1.232,
2000-10,1.234,
2000-11,1.246,
2000-12,0.553,
2001-01,0.527,
2001-02,0.524,
2001-03,0.545,
2001-04,0.562,
2001-05,0.578,
2001-06,0.561,
2001-07,0.594,
2001-08,0.695,
2001-09,0.723,
2001-10,0.724,
2001-11,0.734,
2001-12,0.732,
2002-01,0.811,
2002-02,0.810,
2002-03,0.819,
2002-04,0.819,
2002-05,0.858,
2002-06,0.868,
2002-07,0.878,
2002-08,0.848,
2002-09,0.801,
2002-10,0.797,
2002-11,0.829,
2002-12,0.821,
2003-01,0.829,
2003-02,0.811,
2003-03,0.810,
2003-04,1.126,
2003-05,1.099,
2003-06,1.141,
2003-07,1.151,
2003-08,1.030,
2003-09,1.054,
2003-10,1.236,
2003-11,1.140,
2003-12,1.352,
2004-01,1.378,
2004-02,1.371,
2004-03,1.367,
2004-04,1.386,
2004-05,1.397,
2004-06,1.424,
2004-07,1.518,
2004-08,1.537,
2004-09,1.592,
2004-10,1.641,
