"",BBSF2.M.1.T.00000.TOT01.I.F.INV.BE.00000.F05200.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.INV.BE.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds total / Investment fund shares / Belgium,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:13,
2009-09,47,
2009-10,35,
2009-11,32,
2009-12,42,
2010-01,44,
2010-02,38,
2010-03,41,
2010-04,39,
2010-05,38,
2010-06,38,
2010-07,45,
2010-08,43,
2010-09,43,
2010-10,42,
2010-11,43,
2010-12,44,
2011-01,42,
2011-02,53,
2011-03,46,
2011-04,43,
2011-05,42,
2011-06,37,
2011-07,37,
2011-08,32,
2011-09,36,
2011-10,38,
2011-11,42,
2011-12,45,
2012-01,56,
2012-02,56,
2012-03,68,
2012-04,69,
2012-05,60,
2012-06,57,
2012-07,72,
2012-08,74,
2012-09,74,
2012-10,53,
2012-11,53,
2012-12,54,
2013-01,62,
2013-02,64,
2013-03,71,
2013-04,82,
2013-05,83,
2013-06,57,
2013-07,57,
2013-08,68,
2013-09,71,
2013-10,78,
2013-11,87,
2013-12,79,
2014-01,97,
2014-02,104,
2014-03,112,
2014-04,87,
2014-05,86,
2014-06,79,
2014-07,65,
2014-08,63,
2014-09,74,
2014-10,73,
2014-11,79,
