"",BBK01.OEAG04P,BBK01.OEAG04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:30,
2002-01,1.158,
2002-04,1.201,
2002-07,1.150,
2002-10,1.115,
2003-01,1.183,
2003-04,1.274,
2003-07,1.103,
2003-10,1.116,
2004-01,1.180,
2004-04,1.177,
2004-07,1.187,
2004-10,1.212,
2005-01,1.238,
2005-04,1.340,
2005-07,1.464,
2005-10,1.451,
2006-01,1.555,
2006-04,1.595,
2006-07,1.419,
2006-10,1.673,
2007-01,1.663,
2007-04,1.617,
2007-07,1.648,
2007-10,1.648,
2008-01,1.714,
2008-04,1.731,
2008-07,1.693,
2008-10,1.702,
2009-01,1.757,
2009-04,1.771,
2009-07,1.826,
2009-10,1.979,
2010-01,2.175,
2010-04,2.310,
2010-07,2.362,
2010-10,2.594,
2011-01,2.598,
2011-04,2.663,
2011-07,2.698,
2011-10,2.883,
2012-01,3.037,
2012-04,3.006,
2012-07,3.016,
2012-10,3.022,
2013-01,3.089,
2013-04,3.080,
2013-07,3.226,
2013-10,3.192,
2014-01,3.315,
2014-04,3.101,
2014-07,3.068,
