"",BBSF2.M.1.S.I0123.TOT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0123.TOT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Sales receipts / Other financial intermediaries / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:47,
2009-09,778,
2009-10,211,
2009-11,280,
2009-12,1722,
2010-01,1907,
2010-02,601,
2010-03,983,
2010-04,532,
2010-05,553,
2010-06,2882,
2010-07,2104,
2010-08,367,
2010-09,620,
2010-10,2579,
2010-11,861,
2010-12,2397,
2011-01,632,
2011-02,1168,
2011-03,1209,
2011-04,601,
2011-05,517,
2011-06,871,
2011-07,1047,
2011-08,148,
2011-09,324,
2011-10,2039,
2011-11,1515,
2011-12,2416,
2012-01,3588,
2012-02,317,
2012-03,422,
2012-04,896,
2012-05,781,
2012-06,815,
2012-07,88,
2012-08,4068,
2012-09,686,
2012-10,478,
2012-11,368,
2012-12,3054,
2013-01,1722,
2013-02,1779,
2013-03,1427,
2013-04,364,
2013-05,949,
2013-06,661,
2013-07,1463,
2013-08,400,
2013-09,1152,
2013-10,170,
2013-11,4028,
2013-12,4634,
2014-01,1001,
2014-02,1884,
2014-03,1067,
2014-04,252,
2014-05,550,
2014-06,316,
2014-07,1165,
2014-08,1036,
2014-09,1389,
2014-10,1941,
2014-11,5478,
