"",BBK01.OEHB05T,BBK01.OEHB05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:21,
2002-01,8.628,
2002-04,8.692,
2002-07,8.766,
2002-10,8.785,
2003-01,8.795,
2003-04,8.838,
2003-07,8.962,
2003-10,9.077,
2004-01,8.987,
2004-04,9.119,
2004-07,9.178,
2004-10,9.145,
2005-01,9.022,
2005-04,9.009,
2005-07,8.980,
2005-10,8.984,
2006-01,8.906,
2006-04,8.981,
2006-07,9.083,
2006-10,9.038,
2007-01,9.067,
2007-04,9.108,
2007-07,9.040,
2007-10,9.108,
2008-01,8.932,
2008-04,8.877,
2008-07,8.787,
2008-10,8.958,
2009-01,8.605,
2009-04,8.598,
2009-07,8.505,
2009-10,8.560,
2010-01,8.515,
2010-04,8.506,
2010-07,8.555,
2010-10,8.483,
2011-01,8.543,
2011-04,8.594,
2011-07,8.628,
2011-10,8.662,
2012-01,8.651,
2012-04,8.640,
2012-07,8.799,
2012-10,8.801,
2013-01,8.781,
2013-04,8.871,
2013-07,9.044,
2013-10,9.061,
2014-01,9.144,
2014-04,9.243,
2014-07,9.349,
