"",BBK01.OECB15L,BBK01.OECB15L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:30,
2002-01,0.231,
2002-04,0.216,
2002-07,0.214,
2002-10,0.184,
2003-01,0.185,
2003-04,0.172,
2003-07,0.169,
2003-10,0.151,
2004-01,0.140,
2004-04,0.147,
2004-07,0.141,
2004-10,0.134,
2005-01,0.390,
2005-04,0.310,
2005-07,0.204,
2005-10,0.134,
2006-01,0.136,
2006-04,0.125,
2006-07,0.122,
2006-10,0.170,
2007-01,0.164,
2007-04,0.163,
2007-07,0.170,
2007-10,0.158,
2008-01,0.154,
2008-04,0.159,
2008-07,0.167,
2008-10,0.116,
2009-01,0.125,
2009-04,0.129,
2009-07,0.130,
2009-10,0.124,
2010-01,0.115,
2010-04,0.118,
2010-07,0.120,
2010-10,0.117,
2011-01,0.129,
2011-04,0.106,
2011-07,0.098,
2011-10,0.089,
2012-01,0.070,
2012-04,0.070,
2012-07,0.080,
2012-10,0.069,
2013-01,0.074,
2013-04,0.072,
2013-07,0.068,
2013-10,0.075,
2014-01,0.062,
2014-04,0.070,
2014-07,0.068,
