"",BBDE1.M.DE.Y.AEA1.N2C200000.F.C.I10.A,BBDE1.M.DE.Y.AEA1.N2C200000.F.C.I10.A_FLAGS
"",Orders received / At constant prices / Germany / 20 Manufacture of chemicals and chemical products / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:04,
1991-01,83.0,
1991-02,79.1,
1991-03,78.1,
1991-04,78.9,
1991-05,77.7,
1991-06,79.0,
1991-07,78.7,
1991-08,78.3,
1991-09,78.6,
1991-10,80.8,
1991-11,80.0,
1991-12,81.4,
1992-01,80.5,
1992-02,81.1,
1992-03,80.8,
1992-04,77.7,
1992-05,78.1,
1992-06,79.5,
1992-07,76.2,
1992-08,76.1,
1992-09,76.1,
1992-10,74.4,
1992-11,75.3,
1992-12,76.0,
1993-01,75.8,
1993-02,77.4,
1993-03,75.6,
1993-04,75.5,
1993-05,74.9,
1993-06,75.6,
1993-07,74.4,
1993-08,75.6,
1993-09,75.9,
1993-10,75.0,
1993-11,77.2,
1993-12,78.2,
1994-01,77.8,
1994-02,79.5,
1994-03,79.2,
1994-04,79.8,
1994-05,79.8,
1994-06,79.3,
1994-07,79.8,
1994-08,80.4,
1994-09,83.3,
1994-10,84.2,
1994-11,83.9,
1994-12,85.4,
1995-01,84.1,
1995-02,83.2,
1995-03,82.0,
1995-04,82.8,
1995-05,81.8,
1995-06,83.2,
1995-07,80.9,
1995-08,79.7,
1995-09,79.5,
1995-10,78.6,
1995-11,78.1,
1995-12,79.4,
1996-01,79.1,
1996-02,78.6,
1996-03,78.6,
1996-04,80.9,
1996-05,81.4,
1996-06,78.9,
1996-07,80.3,
1996-08,81.2,
1996-09,81.8,
1996-10,81.4,
1996-11,83.6,
1996-12,80.6,
1997-01,84.8,
1997-02,85.6,
1997-03,87.3,
1997-04,86.4,
1997-05,88.2,
1997-06,85.9,
1997-07,87.9,
1997-08,88.0,
1997-09,88.0,
1997-10,89.2,
1997-11,86.7,
1997-12,89.0,
1998-01,89.6,
1998-02,87.9,
1998-03,88.2,
1998-04,86.7,
1998-05,86.6,
1998-06,86.9,
1998-07,85.1,
1998-08,84.8,
1998-09,81.1,
1998-10,80.3,
1998-11,79.6,
1998-12,83.0,
1999-01,84.1,
1999-02,82.7,
1999-03,84.1,
1999-04,84.8,
1999-05,84.8,
1999-06,87.4,
1999-07,88.0,
1999-08,87.1,
1999-09,88.6,
1999-10,91.1,
1999-11,94.8,
1999-12,94.0,
2000-01,89.5,
2000-02,93.1,
2000-03,95.3,
2000-04,93.7,
2000-05,96.0,
2000-06,96.0,
2000-07,96.6,
2000-08,96.7,
2000-09,97.5,
2000-10,96.6,
2000-11,97.1,
2000-12,95.6,
2001-01,93.4,
2001-02,92.7,
2001-03,90.6,
2001-04,91.4,
2001-05,90.3,
2001-06,93.4,
2001-07,90.4,
2001-08,92.6,
2001-09,89.8,
2001-10,88.9,
2001-11,87.0,
2001-12,86.0,
2002-01,87.7,
2002-02,91.2,
2002-03,92.2,
2002-04,95.3,
2002-05,95.5,
2002-06,93.5,
2002-07,93.1,
2002-08,92.6,
2002-09,93.3,
2002-10,89.8,
2002-11,91.9,
2002-12,89.3,
2003-01,91.4,
2003-02,92.6,
2003-03,93.1,
2003-04,91.9,
2003-05,88.2,
2003-06,90.6,
2003-07,92.7,
2003-08,92.4,
2003-09,91.6,
2003-10,94.2,
2003-11,92.2,
2003-12,96.9,
2004-01,96.2,
2004-02,93.6,
2004-03,94.0,
2004-04,96.5,
2004-05,94.8,
2004-06,96.8,
2004-07,97.6,
2004-08,99.2,
2004-09,100.3,
2004-10,98.7,
2004-11,99.2,
2004-12,102.7,
2005-01,101.6,
2005-02,98.6,
2005-03,99.8,
2005-04,96.2,
2005-05,97.3,
2005-06,97.2,
2005-07,100.0,
2005-08,99.5,
2005-09,100.9,
2005-10,100.8,
2005-11,99.7,
2005-12,103.5,
2006-01,97.5,
2006-02,100.2,
2006-03,98.5,
2006-04,99.5,
2006-05,101.7,
2006-06,102.8,
2006-07,101.1,
2006-08,103.2,
2006-09,102.6,
2006-10,104.1,
2006-11,105.7,
2006-12,102.9,
2007-01,104.1,
2007-02,106.6,
2007-03,106.0,
2007-04,107.9,
2007-05,106.9,
2007-06,108.8,
2007-07,107.5,
2007-08,108.1,
2007-09,107.3,
2007-10,108.1,
2007-11,111.9,
2007-12,108.6,
2008-01,108.5,
2008-02,106.9,
2008-03,105.7,
2008-04,105.9,
2008-05,107.2,
2008-06,105.0,
2008-07,104.4,
2008-08,103.2,
2008-09,100.6,
2008-10,97.6,
2008-11,86.7,
2008-12,78.3,
2009-01,78.0,
2009-02,76.4,
2009-03,76.1,
2009-04,79.6,
2009-05,80.8,
2009-06,84.8,
2009-07,86.6,
2009-08,89.1,
2009-09,88.9,
2009-10,90.3,
2009-11,90.6,
2009-12,89.8,
2010-01,93.4,
2010-02,94.8,
2010-03,99.0,
2010-04,98.4,
2010-05,99.4,
2010-06,100.1,
2010-07,100.8,
2010-08,100.6,
2010-09,104.3,
2010-10,99.9,
2010-11,102.5,
2010-12,104.4,
2011-01,104.8,
2011-02,103.2,
2011-03,105.8,
2011-04,104.4,
2011-05,101.1,
2011-06,101.8,
2011-07,100.7,
2011-08,101.9,
2011-09,97.8,
2011-10,96.3,
2011-11,95.3,
2011-12,93.0,
2012-01,99.3,
2012-02,98.1,
2012-03,98.9,
2012-04,99.0,
2012-05,99.7,
2012-06,96.8,
2012-07,98.7,
2012-08,99.2,
2012-09,96.5,
2012-10,96.6,
2012-11,97.1,
2012-12,96.2,
2013-01,95.2,
2013-02,95.6,
2013-03,95.5,
2013-04,94.0,
2013-05,97.1,
2013-06,95.0,
2013-07,96.7,
2013-08,98.7,
2013-09,98.3,
2013-10,99.4,
2013-11,99.8,
2013-12,98.3,
2014-01,98.8,
2014-02,100.8,
2014-03,96.3,
2014-04,98.4,
2014-05,94.5,
2014-06,98.2,
2014-07,98.9,
2014-08,95.5,
2014-09,96.1,
2014-10,96.9,
2014-11,98.1,
2014-12,98.9,Provisional value
