"",BBK01.OEYB01J,BBK01.OEYB01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:47,
2002-01,10.934,
2002-04,10.502,
2002-07,11.535,
2002-10,11.512,
2003-01,11.279,
2003-04,11.062,
2003-07,11.178,
2003-10,11.068,
2004-01,11.096,
2004-04,11.618,
2004-07,11.497,
2004-10,11.775,
2005-01,11.851,
2005-04,12.261,
2005-07,12.735,
2005-10,12.939,
2006-01,13.197,
2006-04,13.221,
2006-07,13.501,
2006-10,11.161,
2007-01,11.243,
2007-04,11.707,
2007-07,11.940,
2007-10,12.036,
2008-01,12.086,
2008-04,12.560,
2008-07,12.992,
2008-10,13.340,
2009-01,13.684,
2009-04,13.098,
2009-07,12.925,
2009-10,12.884,
2010-01,13.138,
2010-04,18.555,
2010-07,17.229,
2010-10,16.735,
2011-01,16.078,
2011-04,15.776,
2011-07,16.009,
2011-10,16.300,
2012-01,14.911,
2012-04,9.756,
2012-07,9.386,
2012-10,9.275,
2013-01,9.335,
2013-04,9.126,
2013-07,9.507,
2013-10,9.211,
2014-01,9.097,
2014-04,8.798,
2014-07,9.098,
