"",BBK01.OELO04K,BBK01.OELO04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:41,
2002-01,-0.002,
2002-04,-0.017,
2002-07,-0.007,
2002-10,0.036,
2003-01,0.017,
2003-04,0.006,
2003-07,-0.004,
2003-10,0.078,
2004-01,0.053,
2004-04,0.017,
2004-07,0.007,
2004-10,0.026,
2005-01,0.021,
2005-04,-0.008,
2005-07,0.015,
2005-10,0.008,
2006-01,0.012,
2006-04,0.033,
2006-07,0.032,
2006-10,0.059,
2007-01,-0.042,
2007-04,-0.124,
2007-07,-0.064,
2007-10,-0.007,
2008-01,-0.079,
2008-04,-0.080,
2008-07,-0.214,
2008-10,-0.127,
2009-01,0.026,
2009-04,0.056,
2009-07,-,Nothing exists
2009-10,-0.005,
2010-01,0.082,
2010-04,0.077,
2010-07,0.106,
2010-10,0.071,
2011-01,0.032,
2011-04,0.001,
2011-07,-0.047,
2011-10,-0.101,
2012-01,-0.019,
2012-04,-0.013,
2012-07,-0.039,
2012-10,-0.017,
2013-01,0.033,
2013-04,-0.004,
2013-07,0.005,
2013-10,-0.013,
2014-01,0.228,
2014-04,-0.013,
2014-07,-0.034,
