"",BBK01.OEHI06N,BBK01.OEHI06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:58,
2002-01,20.406,
2002-04,20.574,
2002-07,20.499,
2002-10,20.607,
2003-01,20.418,
2003-04,20.365,
2003-07,20.295,
2003-10,20.509,
2004-01,20.501,
2004-04,20.553,
2004-07,20.600,
2004-10,20.666,
2005-01,20.418,
2005-04,20.488,
2005-07,19.822,
2005-10,19.439,
2006-01,19.169,
2006-04,19.115,
2006-07,19.127,
2006-10,19.336,
2007-01,19.967,
2007-04,20.525,
2007-07,21.141,
2007-10,21.571,
2008-01,21.530,
2008-04,21.625,
2008-07,21.738,
2008-10,22.212,
2009-01,21.120,
2009-04,19.918,
2009-07,18.554,
2009-10,17.727,
2010-01,17.345,
2010-04,16.855,
2010-07,16.190,
2010-10,16.116,
2011-01,16.478,
2011-04,16.738,
2011-07,16.963,
2011-10,17.306,
2012-01,17.238,
2012-04,17.074,
2012-07,16.647,
2012-10,16.193,
2013-01,15.407,
2013-04,14.711,
2013-07,14.307,
2013-10,13.917,
2014-01,13.511,
2014-04,13.001,
2014-07,12.509,
