"",BBK01.OEHL01L,BBK01.OEHL01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:28,
2002-01,40.165,
2002-04,40.043,
2002-07,39.722,
2002-10,40.904,
2003-01,41.035,
2003-04,40.918,
2003-07,40.639,
2003-10,41.294,
2004-01,41.562,
2004-04,41.748,
2004-07,41.250,
2004-10,41.720,
2005-01,41.589,
2005-04,41.560,
2005-07,41.075,
2005-10,41.834,
2006-01,42.585,
2006-04,42.895,
2006-07,42.985,
2006-10,43.455,
2007-01,43.417,
2007-04,44.015,
2007-07,44.738,
2007-10,45.536,
2008-01,45.402,
2008-04,45.386,
2008-07,45.492,
2008-10,46.806,
2009-01,46.095,
2009-04,46.697,
2009-07,46.031,
2009-10,47.366,
2010-01,47.930,
2010-04,48.133,
2010-07,47.724,
2010-10,48.422,
2011-01,48.404,
2011-04,48.390,
2011-07,48.102,
2011-10,49.081,
2012-01,48.731,
2012-04,49.166,
2012-07,48.962,
2012-10,49.760,
2013-01,49.715,
2013-04,49.679,
2013-07,49.765,
2013-10,50.290,
2014-01,50.282,
2014-04,50.498,
2014-07,50.438,
