"",BBK01.OELB20M,BBK01.OELB20M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:13,
2002-01,11.416,
2002-04,11.606,
2002-07,11.791,
2002-10,12.025,
2003-01,12.093,
2003-04,12.295,
2003-07,12.574,
2003-10,12.868,
2004-01,12.948,
2004-04,13.132,
2004-07,13.351,
2004-10,13.608,
2005-01,13.661,
2005-04,13.835,
2005-07,14.130,
2005-10,14.387,
2006-01,14.487,
2006-04,14.679,
2006-07,14.850,
2006-10,14.985,
2007-01,14.968,
2007-04,14.991,
2007-07,15.111,
2007-10,15.182,
2008-01,15.161,
2008-04,15.274,
2008-07,15.372,
2008-10,15.403,
2009-01,15.497,
2009-04,15.634,
2009-07,15.794,
2009-10,15.924,
2010-01,15.987,
2010-04,16.162,
2010-07,16.339,
2010-10,16.509,
2011-01,16.658,
2011-04,16.859,
2011-07,17.250,
2011-10,17.426,
2012-01,17.525,
2012-04,17.927,
2012-07,18.142,
2012-10,18.331,
2013-01,18.431,
2013-04,18.619,
2013-07,18.879,
2013-10,19.075,
2014-01,19.153,
2014-04,19.370,
2014-07,19.629,
