"",BBK01.OEHI08O,BBK01.OEHI08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:11,
2002-01,12.662,
2002-04,12.762,
2002-07,12.768,
2002-10,13.106,
2003-01,13.212,
2003-04,13.253,
2003-07,13.176,
2003-10,13.355,
2004-01,13.179,
2004-04,13.080,
2004-07,12.937,
2004-10,13.118,
2005-01,13.076,
2005-04,12.882,
2005-07,13.184,
2005-10,13.186,
2006-01,12.881,
2006-04,12.565,
2006-07,12.199,
2006-10,11.931,
2007-01,11.339,
2007-04,11.032,
2007-07,10.742,
2007-10,10.490,
2008-01,10.259,
2008-04,10.054,
2008-07,9.751,
2008-10,9.667,
2009-01,9.844,
2009-04,10.143,
2009-07,10.264,
2009-10,10.277,
2010-01,10.475,
2010-04,10.802,
2010-07,11.148,
2010-10,11.528,
2011-01,11.733,
2011-04,11.787,
2011-07,11.682,
2011-10,11.759,
2012-01,11.658,
2012-04,11.513,
2012-07,11.405,
2012-10,11.382,
2013-01,11.334,
2013-04,11.311,
2013-07,11.315,
2013-10,11.463,
2014-01,11.332,
2014-04,11.241,
2014-07,11.108,
