"",BBSF2.M.1.P.00000.GEM01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEM01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Public funds / Mixed securities funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:54,
2009-09,2342,
2009-10,2328,
2009-11,2264,
2009-12,2489,
2010-01,2266,
2010-02,2165,
2010-03,2275,
2010-04,2202,
2010-05,2069,
2010-06,2023,
2010-07,2102,
2010-08,2016,
2010-09,2119,
2010-10,2272,
2010-11,2153,
2010-12,2278,
2011-01,2433,
2011-02,2477,
2011-03,2528,
2011-04,2600,
2011-05,2500,
2011-06,2367,
2011-07,2169,
2011-08,1823,
2011-09,1675,
2011-10,1782,
2011-11,1665,
2011-12,1772,
2012-01,1867,
2012-02,1975,
2012-03,1921,
2012-04,1836,
2012-05,1751,
2012-06,1790,
2012-07,1923,
2012-08,2006,
2012-09,2045,
2012-10,2066,
2012-11,2106,
2012-12,2117,
2013-01,2212,
2013-02,2073,
2013-03,1996,
2013-04,2073,
2013-05,2095,
2013-06,1969,
2013-07,2121,
2013-08,2094,
2013-09,2168,
2013-10,2264,
2013-11,2257,
2013-12,2238,
2014-01,2184,
2014-02,2264,
2014-03,2316,
2014-04,2357,
2014-05,2376,
2014-06,2444,
2014-07,2411,
2014-08,2569,
2014-09,2630,
2014-10,2524,
2014-11,2344,
