"",BBK01.TYI317,BBK01.TYI317_FLAGS
"",Liabilities to non-euro-area residents / German contribution / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:53,
1980-01,0,
1980-02,386,
1980-03,1876,
1980-04,275,
1980-05,-199,
1980-06,400,
1980-07,-790,
1980-08,1123,
1980-09,531,
1980-10,1300,
1980-11,3002,
1980-12,2968,
1981-01,-352,
1981-02,1993,
1981-03,1136,
1981-04,-3518,
1981-05,1150,
1981-06,42,
1981-07,-207,
1981-08,-1097,
1981-09,-274,
1981-10,-538,
1981-11,357,
1981-12,2553,
1982-01,-1761,
1982-02,-145,
1982-03,731,
1982-04,-307,
1982-05,308,
1982-06,1245,
1982-07,-902,
1982-08,470,
1982-09,653,
1982-10,-19,
1982-11,1068,
1982-12,1237,
1983-01,-2320,
1983-02,-101,
1983-03,334,
1983-04,-1836,
1983-05,1117,
1983-06,1476,
1983-07,-365,
1983-08,-89,
1983-09,40,
1983-10,-385,
1983-11,380,
1983-12,1000,
1984-01,-2347,
1984-02,-529,
1984-03,699,
1984-04,1234,
1984-05,452,
1984-06,640,
1984-07,1048,
1984-08,209,
1984-09,2869,
1984-10,279,
1984-11,199,
1984-12,4149,
1985-01,-1863,
1985-02,2163,
1985-03,-1953,
1985-04,-75,
1985-05,-1054,
1985-06,1632,
1985-07,-2189,
1985-08,800,
1985-09,86,
1985-10,601,
1985-11,1576,
1985-12,2545,
1986-01,-2458,
1986-02,-748,
1986-03,2730,
1986-04,306,
1986-05,1218,
1986-06,360,
1986-07,-1334,
1986-08,412,
1986-09,4695,
1986-10,890,
1986-11,-1418,
1986-12,1110,
1987-01,-677,
1987-02,-808,
1987-03,641,
1987-04,966,
1987-05,-186,
1987-06,1458,
1987-07,-90,
1987-08,785,
1987-09,2750,
1987-10,1441,
1987-11,-3138,
1987-12,-1162,
1988-01,-428,
1988-02,363,
1988-03,1247,
1988-04,-1115,
1988-05,1558,
1988-06,2250,
1988-07,5163,
1988-08,3604,
1988-09,134,
1988-10,-70,
1988-11,-822,
1988-12,-215,
1989-01,2098,
1989-02,1748,
1989-03,4113,
