"",BBFB1.Q.N.DE.DK.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:13,
1991-01,14.279,
1991-04,19.257,
1991-07,28.608,
1991-10,14.571,
1992-01,16.670,
1992-04,19.088,
1992-07,29.808,
1992-10,21.791,
1993-01,19.018,
1993-04,19.013,
1993-07,13.703,
1993-10,14.629,
1994-01,12.227,
1994-04,21.815,
1994-07,16.536,
1994-10,14.146,
1995-01,20.828,
1995-04,29.460,
1995-07,16.093,
1995-10,19.936,
1996-01,25.679,
1996-04,23.453,
1996-07,24.894,
1996-10,27.239,
1997-01,17.012,
1997-04,22.821,
1997-07,16.310,
1997-10,21.526,
1998-01,26.861,
1998-04,27.369,
1998-07,22.320,
1998-10,24.262,
1999-01,23.191,
1999-04,31.543,
1999-07,26.746,
1999-10,27.538,
2000-01,21.117,
2000-04,35.192,
2000-07,19.510,
2000-10,27.881,
2001-01,18.287,
2001-04,33.422,
2001-07,21.994,
2001-10,23.662,
2002-01,25.099,
2002-04,21.221,
2002-07,21.409,
2002-10,20.145,
2003-01,13.851,
2003-04,26.887,
2003-07,20.666,
2003-10,21.088,
2004-01,29.372,
2004-04,30.133,
2004-07,37.383,
2004-10,45.249,
2005-01,25.876,
2005-04,44.076,
2005-07,26.451,
2005-10,27.902,
2006-01,29.855,
2006-04,61.658,
2006-07,29.418,
2006-10,18.031,
2007-01,34.455,
2007-04,52.193,
2007-07,35.738,
2007-10,41.193,
2008-01,54.358,
2008-04,72.273,
2008-07,32.527,
2008-10,25.058,
2009-01,41.993,
2009-04,49.828,
2009-07,33.939,
2009-10,31.012,
2010-01,35.419,
2010-04,35.671,
2010-07,31.640,
2010-10,42.090,
2011-01,20.143,
2011-04,601.958,
2011-07,29.814,
2011-10,31.152,
2012-01,24.852,
2012-04,63.640,
2012-07,22.750,
2012-10,71.372,
2013-01,32.379,
2013-04,40.684,
2013-07,31.743,
2013-10,33.097,
2014-01,32.102,Provisional value
2014-04,53.067,Provisional value
2014-07,52.296,Provisional value
