"",BBK01.OEXB22S,BBK01.OEXB22S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:08,
2002-01,0.027,
2002-04,0.027,
2002-07,0.023,
2002-10,0.023,
2003-01,0.025,
2003-04,0.035,
2003-07,0.038,
2003-10,0.052,
2004-01,0.057,
2004-04,0.057,
2004-07,0.040,
2004-10,0.054,
2005-01,0.058,
2005-04,0.063,
2005-07,0.059,
2005-10,0.056,
2006-01,0.066,
2006-04,0.070,
2006-07,0.063,
2006-10,0.052,
2007-01,0.060,
2007-04,0.037,
2007-07,0.039,
2007-10,0.040,
2008-01,0.032,
2008-04,0.030,
2008-07,0.019,
2008-10,0.023,
2009-01,0.031,
2009-04,0.033,
2009-07,0.031,
2009-10,0.031,
2010-01,0.037,
2010-04,0.035,
2010-07,0.036,
2010-10,0.034,
2011-01,0.038,
2011-04,0.039,
2011-07,0.044,
2011-10,0.047,
2012-01,0.049,
2012-04,0.050,
2012-07,0.062,
2012-10,0.061,
2013-01,0.056,
2013-04,0.086,
2013-07,0.088,
2013-10,0.123,
2014-01,0.135,
2014-04,0.182,
2014-07,0.172,
