"",BBSF2.M.1.S.00000.SON01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.SON01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Special investors funds / Other funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:20,
2009-09,330,
2009-10,396,
2009-11,1334,
2009-12,1449,
2010-01,1517,
2010-02,1527,
2010-03,1623,
2010-04,1637,
2010-05,1696,
2010-06,1655,
2010-07,1913,
2010-08,2039,
2010-09,1842,
2010-10,2035,
2010-11,1966,
2010-12,1893,
2011-01,1804,
2011-02,1830,
2011-03,1804,
2011-04,1853,
2011-05,1854,
2011-06,1854,
2011-07,1773,
2011-08,2219,
2011-09,2272,
2011-10,2699,
2011-11,3573,
2011-12,3612,
2012-01,3810,
2012-02,3910,
2012-03,3824,
2012-04,3664,
2012-05,3660,
2012-06,3516,
2012-07,3622,
2012-08,3706,
2012-09,3601,
2012-10,3600,
2012-11,3645,
2012-12,3589,
2013-01,3816,
2013-02,3896,
2013-03,3940,
2013-04,4201,
2013-05,4273,
2013-06,4366,
2013-07,4542,
2013-08,4561,
2013-09,4682,
2013-10,4508,
2013-11,4549,
2013-12,4665,
2014-01,4833,
2014-02,5152,
2014-03,5106,
2014-04,5115,
2014-05,5260,
2014-06,5244,
2014-07,5213,
2014-08,6428,
2014-09,6465,
2014-10,6534,
2014-11,6629,
