"",BBK01.DQ7804,BBK01.DQ7804_FLAGS
"","Pay rates, overall economy, all items excluding one-off payments, on a monthly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:12,
1991-01,52.8,
1991-04,54.9,
1991-07,62.3,
1991-10,69.6,
1992-01,57.4,
1992-04,61.1,
1992-07,69.1,
1992-10,76.9,
1993-01,63.4,
1993-04,64.7,
1993-07,73.1,
1993-10,81.4,
1994-01,65.8,
1994-04,66.3,
1994-07,74.5,
1994-10,83.1,
1995-01,68.0,
1995-04,69.4,
1995-07,78.1,
1995-10,87.1,
1996-01,71.0,
1996-04,71.3,
1996-07,79.7,
1996-10,88.4,
1997-01,72.2,
1997-04,72.5,
1997-07,81.0,
1997-10,89.6,
1998-01,73.5,
1998-04,74.0,
1998-07,82.6,
1998-10,91.2,
1999-01,74.8,
1999-04,75.9,
1999-07,85.0,
1999-10,93.5,
2000-01,76.8,
2000-04,77.6,
2000-07,86.7,
2000-10,95.5,
2001-01,78.8,
2001-04,79.5,
2001-07,88.6,
2001-10,97.5,
2002-01,80.6,
2002-04,81.1,
2002-07,90.5,
2002-10,99.8,
2003-01,82.6,
2003-04,83.2,
2003-07,92.4,
2003-10,100.9,
2004-01,83.7,
2004-04,84.3,
2004-07,93.1,
2004-10,101.0,
2005-01,84.8,
2005-04,85.2,
2005-07,93.7,
2005-10,101.7,
2006-01,85.3,
2006-04,85.8,
2006-07,93.9,
2006-10,103.0,
2007-01,86.3,
2007-04,87.1,
2007-07,95.4,
2007-10,104.8,
2008-01,88.7,
2008-04,90.0,
2008-07,98.3,
2008-10,107.8,
2009-01,90.9,
2009-04,92.2,
2009-07,100.5,
2009-10,109.8,
2010-01,93.0,
2010-04,93.8,
2010-07,101.8,
2010-10,111.4,
2011-01,94.2,
2011-04,95.5,
2011-07,103.9,
2011-10,113.8,
2012-01,96.6,
2012-04,98.4,
2012-07,106.9,
2012-10,117.2,
2013-01,99.4,
2013-04,100.4,
2013-07,109.4,
2013-10,120.1,
2014-01,102.0,
2014-04,103.7,
2014-07,112.4,
2014-10,123.4,
