"",BBK01.CEFI20,BBK01.CEFI20_FLAGS
"",Listed shares                                             debtor: Finanzielle Sektoren         creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:14,
1999-01,353.6,
1999-04,339.3,
1999-07,314.1,
1999-10,393.8,
2000-01,453.1,
2000-04,380.3,
2000-07,405.6,
2000-10,350.6,
2001-01,358.6,
2001-04,366.4,
2001-07,262.4,
2001-10,289.8,
2002-01,321.6,
2002-04,293.2,
2002-07,145.9,
2002-10,120.2,
2003-01,105.8,
2003-04,152.3,
2003-07,147.8,
2003-10,174.5,
2004-01,171.2,
2004-04,176.6,
2004-07,164.3,
2004-10,179.0,
2005-01,192.6,
2005-04,188.0,
2005-07,217.4,
2005-10,234.4,
2006-01,253.3,
2006-04,234.5,
2006-07,266.2,
2006-10,286.0,
2007-01,309.5,
2007-04,341.8,
2007-07,312.5,
2007-10,315.3,
2008-01,266.2,
2008-04,254.1,
2008-07,212.8,
2008-10,139.0,
2009-01,120.2,
2009-04,136.9,
2009-07,163.0,
2009-10,158.0,
2010-01,169.2,
2010-04,151.4,
2010-07,137.9,
2010-10,154.4,
2011-01,161.1,
2011-04,162.9,
2011-07,121.4,
2011-10,125.8,
2012-01,153.3,
2012-04,132.8,
2012-07,146.0,
2012-10,160.7,
2013-01,157.4,
2013-04,164.1,
2013-07,171.8,
2013-10,190.0,
2014-01,186.7,
2014-04,179.8,
2014-07,184.2,
