"",BBK01.OEAD17L,BBK01.OEAD17L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:57,
2002-01,1.064,
2002-04,1.056,
2002-07,0.888,
2002-10,0.773,
2003-01,0.760,
2003-04,0.764,
2003-07,0.751,
2003-10,0.744,
2004-01,0.887,
2004-04,0.567,
2004-07,0.567,
2004-10,0.530,
2005-01,0.527,
2005-04,0.615,
2005-07,0.584,
2005-10,0.503,
2006-01,0.590,
2006-04,0.604,
2006-07,0.559,
2006-10,0.579,
2007-01,0.695,
2007-04,0.700,
2007-07,0.644,
2007-10,0.575,
2008-01,0.606,
2008-04,0.652,
2008-07,0.720,
2008-10,0.763,
2009-01,0.895,
2009-04,0.798,
2009-07,0.680,
2009-10,0.540,
2010-01,0.488,
2010-04,0.508,
2010-07,0.454,
2010-10,0.580,
2011-01,0.540,
2011-04,0.640,
2011-07,0.542,
2011-10,0.385,
2012-01,0.608,
2012-04,0.639,
2012-07,0.522,
2012-10,0.482,
2013-01,0.452,
2013-04,0.411,
2013-07,0.436,
2013-10,0.588,
2014-01,0.440,
2014-04,0.450,
2014-07,0.412,
