"",BBDE1.M.DE.Y.GUA1.P2XG75070.A.V.I10.A,BBDE1.M.DE.Y.GUA1.P2XG75070.A.V.I10.A_FLAGS
"","Turnover / At current prices, flows / Germany / 47.73 to 47.75 Pharmacies and retail trade of medical, orthopaedic, cosmetic and toilet goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 14:19:05,
1994-01,51.9,
1994-02,53.0,
1994-03,54.0,
1994-04,52.4,
1994-05,54.4,
1994-06,55.4,
1994-07,56.6,
1994-08,55.9,
1994-09,57.0,
1994-10,56.5,
1994-11,56.7,
1994-12,59.1,
1995-01,55.5,
1995-02,57.3,
1995-03,58.9,
1995-04,59.9,
1995-05,59.4,
1995-06,59.7,
1995-07,58.7,
1995-08,59.4,
1995-09,59.0,
1995-10,59.5,
1995-11,59.6,
1995-12,60.7,
1996-01,61.5,
1996-02,61.2,
1996-03,61.2,
1996-04,62.1,
1996-05,62.0,
1996-06,61.4,
1996-07,61.5,
1996-08,62.1,
1996-09,63.9,
1996-10,61.9,
1996-11,59.4,
1996-12,59.5,
1997-01,61.9,
1997-02,62.4,
1997-03,61.4,
1997-04,63.1,
1997-05,61.9,
1997-06,69.6,
1997-07,61.1,
1997-08,60.8,
1997-09,62.7,
1997-10,63.6,
1997-11,63.4,
1997-12,64.6,
1998-01,62.2,
1998-02,64.2,
1998-03,66.1,
1998-04,64.6,
1998-05,64.6,
1998-06,65.1,
1998-07,68.2,
1998-08,65.6,
1998-09,67.5,
1998-10,67.3,
1998-11,69.5,
1998-12,70.5,
1999-01,70.1,
1999-02,71.0,
1999-03,71.8,
1999-04,69.1,
1999-05,70.7,
1999-06,71.1,
1999-07,71.2,
1999-08,72.0,
1999-09,72.5,
1999-10,71.6,
1999-11,71.6,
1999-12,72.0,
2000-01,73.7,
2000-02,73.2,
2000-03,71.4,
2000-04,72.6,
2000-05,76.4,
2000-06,75.3,
2000-07,74.7,
2000-08,75.7,
2000-09,75.0,
2000-10,76.6,
2000-11,76.3,
2000-12,74.6,
2001-01,78.8,
2001-02,77.1,
2001-03,76.1,
2001-04,79.3,
2001-05,80.4,
2001-06,79.0,
2001-07,81.1,
2001-08,80.4,
2001-09,79.4,
2001-10,79.1,
2001-11,81.1,
2001-12,79.0,
2002-01,80.5,
2002-02,80.1,
2002-03,81.8,
2002-04,82.2,
2002-05,82.5,
2002-06,80.6,
2002-07,82.2,
2002-08,82.4,
2002-09,84.2,
2002-10,82.1,
2002-11,81.1,
2002-12,80.3,
2003-01,81.2,
2003-02,82.5,
2003-03,80.6,
2003-04,84.5,
2003-05,81.9,
2003-06,84.2,
2003-07,84.8,
2003-08,83.4,
2003-09,84.6,
2003-10,84.7,
2003-11,84.8,
2003-12,87.7,
2004-01,74.9,
2004-02,79.8,
2004-03,83.4,
2004-04,83.4,
2004-05,82.7,
2004-06,85.0,
2004-07,84.2,
2004-08,85.2,
2004-09,85.0,
2004-10,86.0,
2004-11,85.4,
2004-12,88.6,
2005-01,85.2,
2005-02,87.0,
2005-03,88.0,
2005-04,84.9,
2005-05,87.7,
2005-06,87.7,
2005-07,88.5,
2005-08,87.6,
2005-09,90.0,
2005-10,88.1,
2005-11,88.8,
2005-12,88.3,
2006-01,88.6,
2006-02,88.9,
2006-03,90.3,
2006-04,89.8,
2006-05,90.5,
2006-06,90.1,
2006-07,88.7,
2006-08,89.6,
2006-09,88.2,
2006-10,90.2,
2006-11,90.7,
2006-12,89.2,
2007-01,89.3,
2007-02,90.2,
2007-03,90.9,
2007-04,92.4,
2007-05,92.6,
2007-06,90.8,
2007-07,92.9,
2007-08,92.7,
2007-09,92.2,
2007-10,92.9,
2007-11,93.0,
2007-12,88.0,
2008-01,95.8,
2008-02,95.4,
2008-03,92.2,
2008-04,93.9,
2008-05,92.1,
2008-06,94.0,
2008-07,93.5,
2008-08,93.3,
2008-09,95.0,
2008-10,94.2,
2008-11,94.8,
2008-12,94.7,
2009-01,95.0,
2009-02,94.4,
2009-03,95.1,
2009-04,96.2,
2009-05,95.0,
2009-06,95.3,
2009-07,96.1,
2009-08,96.2,
2009-09,96.7,
2009-10,97.1,
2009-11,101.4,
2009-12,98.4,
2010-01,96.6,
2010-02,99.2,
2010-03,101.0,
2010-04,99.0,
2010-05,100.5,
2010-06,100.6,
2010-07,100.2,
2010-08,102.3,
2010-09,101.0,
2010-10,101.5,
2010-11,100.3,
2010-12,100.9,
2011-01,100.1,
2011-02,99.6,
2011-03,98.3,
2011-04,98.6,
2011-05,100.4,
2011-06,100.2,
2011-07,100.4,
2011-08,101.4,
2011-09,102.6,
2011-10,100.7,
2011-11,101.3,
2011-12,103.0,
2012-01,100.8,
2012-02,100.9,
2012-03,102.3,
2012-04,102.1,
2012-05,102.2,
2012-06,101.2,
2012-07,100.3,
2012-08,99.7,
2012-09,98.4,
2012-10,100.2,
2012-11,101.0,
2012-12,97.8,
2013-01,102.6,
2013-02,102.0,
2013-03,102.9,
2013-04,101.8,
2013-05,102.3,
2013-06,101.2,
2013-07,103.6,
2013-08,102.9,
2013-09,104.5,
2013-10,104.3,
2013-11,103.8,
2013-12,105.5,
2014-01,107.6,Provisional value
2014-02,108.7,Provisional value
2014-03,106.9,Provisional value
2014-04,109.5,Provisional value
2014-05,108.3,Provisional value
2014-06,111.6,Provisional value
2014-07,111.1,Provisional value
2014-08,110.9,Provisional value
2014-09,111.4,Provisional value
2014-10,112.6,Provisional value
2014-11,113.6,Provisional value
2014-12,113.8,Provisional value
