"",BBEX3.M.TRL.USD.CA.AB.A01,BBEX3.M.TRL.USD.CA.AB.A01_FLAGS
1991-06,4339.00,
1991-07,4404.00,
1991-08,4601.00,
1991-09,4728.00,
1991-10,4934.00,
1991-11,5073.00,
1991-12,5085.00,
1992-01,5497.00,
1992-02,5879.00,
1992-03,6254.00,
1992-04,6607.00,
1992-05,6834.00,
1992-06,6882.00,
1992-07,7073.00,
1992-08,7065.00,
1992-09,7332.00,
1992-10,7887.00,
1992-11,8298.00,
1992-12,8573.00,
1993-01,8832.00,
1993-02,9204.00,
1993-03,9470.00,
1993-04,9669.00,
1993-05,10144.00,
1993-06,10882.00,
1993-07,11555.00,
1993-08,11770.00,
1993-09,12106.00,
1993-10,12993.00,
1993-11,13751.00,
1993-12,14487.00,
1994-01,17238.00,comment
1994-02,18297.00,
1994-03,22182.00,
1994-04,33475.00,comment
1994-05,31794.00,
1994-06,31226.00,
1994-07,31018.00,
1994-08,33017.00,
1994-09,34085.00,
1994-10,35772.00,
1994-11,36492.00,
1994-12,38765.00,
1995-01,40530.00,
1995-02,41477.00,
1995-03,41936.00,
1995-04,42480.00,
1995-05,42802.00,
1995-06,44023.00,
1995-07,45106.00,
1995-08,48083.00,
1995-09,49129.00,
1995-10,51241.00,
1995-11,54736.00,
1995-12,59800.00,
1996-01,62700.00,
1996-02,65843.00,
1996-03,70877.00,
1996-04,74608.00,
1996-05,78161.00,
1996-06,81632.00,
1996-07,83418.00,
1996-08,86215.00,
1996-09,91384.00,
1996-10,95794.00,
1996-11,101856.00,
1996-12,108045.00,
1997-01,115890.00,
1997-02,122080.00,
1997-03,126880.00,
1997-04,135280.00,
1997-05,140250.00,
1997-06,147380.00,
1997-07,159570.00,
1997-08,166460.00,
1997-09,173640.00,
1997-10,181110.00,
1997-11,194470.00,
1997-12,205740.00,
1998-01,215220.00,
1998-02,229560.00,
1998-03,241870.00,
1998-04,249620.00,
1998-05,257040.00,
1998-06,266330.00,
1998-07,269560.00,
1998-08,277890.00,
1998-09,277220.00,
1998-10,285850.00,
1998-11,302660.00,
1998-12,314230.00,
1999-01,331485.00,
1999-02,351722.00,
1999-03,367342.00,
1999-04,389620.00,
1999-05,404493.00,
1999-06,420206.00,
1999-07,427934.00,
1999-08,445339.00,
1999-09,461998.00,
1999-10,479621.00,
1999-11,515211.00,
1999-12,542703.00,
2000-01,558441.00,
2000-02,575799.00,
2000-03,591155.00,
2000-04,609226.00,
2000-05,616624.00,
2000-06,621970.00,
2000-07,637265.00,
2000-08,654469.00,
2000-09,666633.00,
2000-10,685342.00,
2000-11,686176.00,
2000-12,675004.00,
2001-01,682437.00,
2001-02,910535.00,comment
2001-03,1061640.00,
2001-04,1166164.00,
2001-05,1162108.00,
2001-06,1273528.00,
2001-07,1326247.00,
2001-08,1375149.00,
2001-09,1540363.00,
2001-10,1597394.00,
2001-11,1491705.00,
2001-12,1446510.00,
2002-01,1327210.00,
2002-02,1406065.00,
2002-03,1338916.00,
2002-04,1337884.00,
2002-05,1419708.00,
2002-06,1610463.00,
2002-07,1689979.00,
2002-08,1633660.00,
2002-09,1656621.00,
2002-10,1678215.00,
2002-11,1550918.00,
2002-12,1642384.00,
2003-01,1650139.00,
2003-02,1610527.00,
2003-03,1716452.00,
2003-04,1590042.00,
2003-05,1441583.00,
2003-06,1428574.00,
2003-07,1428702.00,
2003-08,1407755.00,
2003-09,1383347.00,
2003-10,1498592.00,
2003-11,1471828.00,
2003-12,1402567.00,
2004-01,1339619.00,
2004-02,1330297.00,
2004-03,1317611.00,
2004-04,1447074.00,
2004-05,1492502.00,
2004-06,1493078.00,
2004-07,1475403.00,
2004-08,1504413.00,
2004-09,1504920.00,
2004-10,1482949.00,
2004-11,1426245.00,
2004-12,1348600.00,
"","General: In addition to the official exchange rates published by the central bank, from 1994, the commercial banks set their own rates for a time. These rates could deviate significantly from the central bank rate over the course of a day. Currency conversion effective from 1 January 2005: 1,000,000 Turkish lira (TRL) = 1 New Turkish lira (TRL), designatedas Turkish lira (TRL) since 1 January 2009.",
"","Source: Central Bank of Turkey, Ankara.",
"","Comment on 1994-01: On 27 January 1994, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling).  26 January 1994: USD 1 = TRL 15,155.63 / 15,186.00  27 January 1994: USD 1 = TRL 17,215.50 / 17,250.00  Calculated devaluation: 12.0%.",
"","Comment on 1994-04: From 5 to 9 April 1994, Turkey experienced sharp exchange rate fluctuations. After depreciating sharply on both 6 and 7 April 1994, the Turkish pound recovered to some extent over the following two days. For 5 to 9 April 1994, we recorded the following exchange rates (buying/selling): 5 April 1994: USD 1 = TRL 23,031.84 / 23,078.00  6 April 1994: USD 1 = TRL 31,988.89 / 32,053.00  7 April 1994: USD 1 = TRL 39,853.13 / 39,933.00  8 April 1994: USD 1 = TRL 36,871.11 / 36,945.00  9 April 1994: USD 1 = TRL 33,560.74 / 33,628.00  Calculated using the exchange rates from 5 and 9 April 1994 the Turkish lira was devalued by 31.4%.",
"","Comment on 2001-02: On 22 February 2001, the exchange rate arrangements for the Turkish lira were changed; since this date, Turkey has used an independent floating exchange rate system. This measure led to sharp exchange rate fluctuations. The following exchange rates (buying/selling) were reported to us by the Turkish central bank at the start of trading:  22 February 2001: USD 1 = TRL 685,391 / 688,696  23 February 2001: USD 1 = TRL 957,879 / 962,499  26 February 2001: USD 1 = TRL 1,072,988 / 1,078,163  27 February 2001: USD 1 = TRL 946,306 / 950,870",
