"",BBK01.OEAD06P,BBK01.OEAD06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:58,
2002-01,0.199,
2002-04,0.201,
2002-07,0.204,
2002-10,0.196,
2003-01,0.169,
2003-04,0.195,
2003-07,0.182,
2003-10,0.180,
2004-01,0.172,
2004-04,0.172,
2004-07,0.154,
2004-10,0.150,
2005-01,0.140,
2005-04,0.147,
2005-07,0.139,
2005-10,0.119,
2006-01,0.121,
2006-04,0.141,
2006-07,0.147,
2006-10,0.146,
2007-01,0.148,
2007-04,0.149,
2007-07,0.161,
2007-10,0.170,
2008-01,0.201,
2008-04,0.204,
2008-07,0.226,
2008-10,0.225,
2009-01,0.234,
2009-04,0.248,
2009-07,0.250,
2009-10,0.236,
2010-01,0.226,
2010-04,0.228,
2010-07,0.260,
2010-10,0.241,
2011-01,0.247,
2011-04,0.269,
2011-07,0.261,
2011-10,0.230,
2012-01,0.247,
2012-04,0.252,
2012-07,0.245,
2012-10,0.262,
2013-01,0.252,
2013-04,0.267,
2013-07,0.254,
2013-10,0.250,
2014-01,0.245,
2014-04,0.240,
2014-07,0.250,
