"",BBK01.OEAC56M,BBK01.OEAC56M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:42,
2002-01,18.313,
2002-04,18.501,
2002-07,18.891,
2002-10,18.966,
2003-01,18.878,
2003-04,19.071,
2003-07,20.152,
2003-10,20.106,
2004-01,18.923,
2004-04,18.830,
2004-07,19.225,
2004-10,17.585,
2005-01,17.696,
2005-04,17.633,
2005-07,17.073,
2005-10,17.371,
2006-01,17.102,
2006-04,16.773,
2006-07,16.036,
2006-10,16.084,
2007-01,16.004,
2007-04,15.981,
2007-07,15.933,
2007-10,16.003,
2008-01,15.758,
2008-04,15.775,
2008-07,16.003,
2008-10,15.967,
2009-01,15.917,
2009-04,16.387,
2009-07,16.615,
2009-10,16.387,
2010-01,17.048,
2010-04,17.387,
2010-07,17.689,
2010-10,16.767,
2011-01,16.754,
2011-04,16.649,
2011-07,16.604,
2011-10,16.846,
2012-01,16.780,
2012-04,17.356,
2012-07,17.397,
2012-10,17.514,
2013-01,17.533,
2013-04,17.479,
2013-07,17.564,
2013-10,17.569,
2014-01,17.591,
2014-04,17.648,
2014-07,17.658,
